case_id,descripcion,nandina_ref,regimen,fuente_url,fecha_consulta,capitulo,partida,origen_caso,observaciones
SUNAT-0001,"ALMOHADA, S/M, S/M RESTFORM COOL PILLOW; COLOR BLANCO; MEDIDAS: 49X30X9CM A-427 ESPUMA CREDITO A 180 DIAS, DESPUES DEL ARRIBO DEL VAPOR",94049000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,94,9404,SUNAT_ADUANET,hoja=Hoja1; serie=1; fila_inicio=9; fila_fin=20; descripcion_partida=DEMAS SOMIERES; ARTICULOS DE CAMA Y ARTICULOS SIMILARES
SUNAT-0002,"MINI AUDIO, S/M, ALAXE MINI PARLANTE INTELIGENTE; CARGA USB, BLUETOOTH, RADIO; VOLTAGE: 12V Y-84, POTENCIA 5W PLASTICO",85271300,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,85,8527,SUNAT_ADUANET,hoja=Hoja1; serie=2; fila_inicio=21; fila_fin=31; descripcion_partida=- - Los demas aparatos combinados con grabador o reproductor de sonido
SUNAT-0003,"MINI AUDIO, S/M, ALAXE PROMAX MINI PARLANTE INTELIGENTE; CARGA USB, BLUETOOTH, RADIO; VOLTAGE: 12V Y-84, POTENCIA: 15W PLASTICO",85271300,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,85,8527,SUNAT_ADUANET,hoja=Hoja1; serie=3; fila_inicio=32; fila_fin=42; descripcion_partida=- - Los demas aparatos combinados con grabador o reproductor de sonido
SUNAT-0004,"BOLSO DE MANO (CARTERA), S/M, S/M MAT.EXTERNO:MATERIA TEXTIL SINTÉ:100% POLIURETANO,COMP.FORRO:TEJIDOS SINTÉTICOS ACABADO: TEÑIDO ACCESORIOS:0 SIN ACCESORIOS,APLICACIONES:6 CIERRES (CANTIDAD), MEDIDAS:032.0cmx014.0cmx030.0cm, PESO UNITARIO:15,H-589; SET DE 3 PIEZAS: GRANDE: 32X14X30",42022200,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,42,4202,SUNAT_ADUANET,hoja=Hoja1; serie=4; fila_inicio=43; fila_fin=54; descripcion_partida=BOLSOS DE MANO CON SUP.EXT.DE HOJAS D/PLASTICO O MAT.TEXTIL
SUNAT-0005,"BOLSO DE MANO (CARTERA), S/M, S/M MAT.EXTERNO:MATERIA TEXTIL SINTÉ:100% POLIURETANO,COMP.FORRO:TEJIDOS SINTÉTICOS ACABADO: TEÑIDO ACCESORIOS:0 SIN ACCESORIOS,APLICACIONES:6 CIERRES (CANTIDAD), MEDIDAS:012.0cmx024.0cmx024.0cm, PESO UNITARIO:15,H-591; SET DE 4 PIEZAS: GRANDE: 12X24X24",42022200,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,42,4202,SUNAT_ADUANET,hoja=Hoja1; serie=5; fila_inicio=55; fila_fin=66; descripcion_partida=BOLSOS DE MANO CON SUP.EXT.DE HOJAS D/PLASTICO O MAT.TEXTIL
SUNAT-0006,"FLORES ARTIFICIALES, S/M, S/M FLORES ARTIFICIALES; MEDIDAS: 26X14X8CM; COLOR ROJO TALLOS COLOR VERDE Y FLORES SECAS F-579 COMPOSICION: PETALOS 100% ALCOHOL POLIVINILICO, TALLOS: 100% POLIETILENO, FLORES SECAS",67021000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,67,6702,SUNAT_ADUANET,"hoja=Hoja1; serie=6; fila_inicio=67; fila_fin=77; descripcion_partida=FLORES, FOLLAJES Y FRUTOS, ARTIFICIALES DE PLASTICO"
SUNAT-0007,"ORGANIZADOR DE ZAPATOS, S/M, S/M NEW SIMPLE FLOOR CLOTHES RACK; ZAPATERO CON PERCHERO DE 4 NIVELES; MEDIDAS: 60X28X168CM A-101 METAL",94032000,12,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,94,9403,SUNAT_ADUANET,hoja=Hoja1; serie=7; fila_inicio=78; fila_fin=88; descripcion_partida=DEMAS MUEBLES DE METAL
SUNAT-0008,"HOJAS FOAM, S/M, S/M COM: 100% POLICLORURO DE VINILO ACABADO:LAMINADO; COLOR:CON COLOR, PLASTIF: % SIN SOPORTE ANCHO:0.2 M, ESPE.1: 1.5 MM, GRAMAJE:15 GR/M2, COMPO.PLASTICO:100 %, COMPO.SOPORTE:0 %",39211200,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,39,3921,SUNAT_ADUANET,"hoja=Hoja1; serie=8; fila_inicio=89; fila_fin=100; descripcion_partida=DEMAS PLACAS,HOJAS,D/POLIMEROS DE CLORURO DE VINILO, CELULAR"
SUNAT-0009,"DISPENSADOR DE PLÁSTICO, S/M, S/M COMPOSICION:POLIETILENO ALTA DENSIDAD ACABADO:SIN IMPRESIÓN ACCESORIO:SIN ACCESORIOS DIMENSION O CAPACIDAD:MEDIDAS: 20 X 7 X 6 CM, CAPACIDAD: 500 ML,A-84; LIQUID SOAP & LOTIO",39249000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,39,3924,SUNAT_ADUANET,hoja=Hoja1; serie=9; fila_inicio=101; fila_fin=112; descripcion_partida=- Los demas
SUNAT-0010,"BURLETE, S/M, S/M BURLETE PARA PUERTA; MEDIDA: 93CM; COLORES VARIOS A-349 ESPUMA",39269090,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,39,3926,SUNAT_ADUANET,hoja=Hoja1; serie=10; fila_inicio=113; fila_fin=123; descripcion_partida=DEMAS MANUFACTURAS DE PLASTICO
SUNAT-0011,"KIT DE CORTE DE PELO PARA MASCOTA, S/M, S/M PET GROOMING HAIR CLIPPER KIT; INCLUYE: MAQUINA CORTAPELO, CORTAUÑAS, PEINE, LIMA PARA UÑA A-104 ABS",85102010,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,85,8510,SUNAT_ADUANET,hoja=Hoja1; serie=11; fila_inicio=124; fila_fin=134; descripcion_partida=- - De cortar el pelo
SUNAT-0012,"SARTEN WOK CON TAPA DE 42CM, REDSUN, S/M SARTEN WOK CON TAPA DE 42CM AB-1 DE ALUMINIO AB-1 SERIE PUERTO EMBARQUE GUIA AEREA O B/L FEC.EMB. DECL.PREC. ITEM FEC.VCTO CERT.ORIGEN ESTADO CANT. BULTOS CLASE UNIDADES FISICAS U.F. PESO NETO (KG) PESO BRUTO (KG) MONEDA TRANSC. FOB US $ FLETE SEGURO ADV $ IGV $ IPM $ ISC $ PAIS ORIGEN PAIS ADQUISICION TRATO PREF.INT. TRATO PREF. NAC. COD. LIBER. CERT.INSPECC.1 CERT.INSPECC.2 CERT.INSPECC.3 N§ FACTURA 1 N§ FACTURA 2 N§ FACTURA 3 NANDINA DESCRIPCION DE PARTIDA ARANCELARIA NABANDINA TIPO MRGN UNIDADES COMERCIALES TIPO U.C. DESCRIPCION DE MERCANCIAS",76151020,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,76,7615,SUNAT_ADUANET,hoja=Hoja1; serie=12; fila_inicio=135; fila_fin=154; descripcion_partida=DEMAS ARTICULOS DE COCINA DE ALUMINIO
SUNAT-0013,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS COLOR:BLANCO (WHITE,WT) / 1.56 UV420 BLUE BLOCK BLUE COATING HMC 65/70MM STOCK RANGE +6/- Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=1; fila_inicio=155; fila_fin=166; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0014,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=2; fila_inicio=167; fila_fin=178; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0015,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE III (4.25-6 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=3; fila_inicio=179; fila_fin=190; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0016,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=4; fila_inicio=191; fila_fin=202; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0020,"LENTES CORRECTORES,FULLLUZ,S/M, Material:POLICARBONATO (POLY,POLICARBONATE);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=8; fila_inicio=239; fila_fin=250; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0021,"LENTES CORRECTORES,FULLLUZ,S/M, Material:POLICARBONATO (POLY,POLICARBONATE);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=9; fila_inicio=251; fila_fin=262; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0022,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=10; fila_inicio=263; fila_fin=274; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0023,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE II (2.25-4 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=11; fila_inicio=275; fila_fin=286; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0024,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE III (4.25-6 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:FOTOGREY (FOTOGRAY,PX,PG) Acabado:TERMINADOS (FINISHED,F),Tratamiento:ANTIREFLEJANTE (ANTIREFLEX, MULTICOATED)",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=12; fila_inicio=287; fila_fin=298; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
SUNAT-0025,"LENTES CORRECTORES,FULLLUZ,S/M, Material:RESINA (PLASTIC,CR-39,ORGANIC,RESIN);Medida:SERIE I (0-2 DIOPTRIAS) Numero de Focos:MONOFOCAL (SINGLE VISION),COMBINADOS Color:BLANCO (WHITE,WT) Acabado:TERMINADOS (FINISHED,F),Tratamiento:SIN TRATAMIENTO",90015000,10,http://www.aduanet.gob.pe/aduanas/informgest/sgdespa.htm#REGIMENES_DEFINITIVOS,2026-06-13,90,9001,SUNAT_ADUANET,hoja=Hoja1; serie=13; fila_inicio=299; fila_fin=310; descripcion_partida=LENTES DE OTRAS MATERIAS PARA GAFAS
