case_id,id_unico,nandina_ref,rank_ref,retrieved_count,top1_code,top1_score,hit_top_1,hit_top_3,hit_top_5,hit_top_10,hit_top_50,hit_recall_100,mrr_at_100_contribution,exact_at_100,hs6_at_100,hs4_at_100,chapter_at_100,hit_recall_200,mrr_at_200_contribution,exact_at_200,hs6_at_200,hs4_at_200,chapter_at_200
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,0,200,81093100,0.5730595588684082,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00002,118-2026-10-001133-00-1,87032290,0,200,29225030,0.5916414260864258,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00003,118-2026-10-001566-00-1,87032290,0,200,44119300,0.6140501499176025,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00004,118-2026-10-001787-00-1,87032290,0,200,78041100,0.5975102186203003,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,1,1
DA-EVAL-V02-00005,118-2026-10-004975-00-1,87087010,0,200,36050000,0.6247657537460327,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,0,1
DA-EVAL-V02-00006,118-2026-10-004975-00-107,87088020,0,200,87081000,0.7396188378334045,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00007,118-2026-10-004975-00-11,87088020,0,200,38273200,0.7243044376373291,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00008,118-2026-10-004975-00-12,87088020,0,200,84669200,0.6233125925064087,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00009,118-2026-10-004975-00-123,87084090,0,200,27102000,0.7220441699028015,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00010,118-2026-10-004975-00-125,87084090,0,200,42021210,0.6993424296379089,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00011,118-2026-10-004975-00-129,87084090,0,200,42021110,0.7219607830047607,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00012,118-2026-10-004975-00-130,87089999,7,200,03063692,0.7394046783447266,0,0,0,1,1,1,0.14285714285714285,1,1,1,1,1,0.14285714285714285,1,1,1,1
DA-EVAL-V02-00013,118-2026-10-004975-00-137,87089999,52,200,35022000,0.7253729701042175,0,0,0,0,0,1,0.019230769230769232,1,1,1,1,1,0.019230769230769232,1,1,1,1
DA-EVAL-V02-00014,118-2026-10-004975-00-140,87089999,18,200,03063692,0.7342418432235718,0,0,0,0,1,1,0.05555555555555555,1,1,1,1,1,0.05555555555555555,1,1,1,1
DA-EVAL-V02-00015,118-2026-10-004975-00-151,87089999,51,200,35022000,0.7010122537612915,0,0,0,0,0,1,0.0196078431372549,1,1,1,1,1,0.0196078431372549,1,1,1,1
DA-EVAL-V02-00016,118-2026-10-004975-00-153,87089999,99,200,52064500,0.6563255786895752,0,0,0,0,0,1,0.010101010101010102,1,1,1,1,1,0.010101010101010102,1,1,1,1
DA-EVAL-V02-00017,118-2026-10-004975-00-163,87089929,0,200,44032400,0.7347644567489624,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,1,1,1
DA-EVAL-V02-00018,118-2026-10-004975-00-18,87089100,0,200,36050000,0.6919072866439819,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00019,118-2026-10-004975-00-21,87089999,46,200,85171400,0.7671164274215698,0,0,0,0,1,1,0.021739130434782608,1,1,1,1,1,0.021739130434782608,1,1,1,1
DA-EVAL-V02-00020,118-2026-10-004975-00-223,87089939,0,200,84099191,0.773231029510498,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00021,118-2026-10-004975-00-224,87089999,92,200,48059220,0.7110543847084045,0,0,0,0,0,1,0.010869565217391304,1,1,1,1,1,0.010869565217391304,1,1,1,1
DA-EVAL-V02-00022,118-2026-10-004975-00-230,87089400,0,200,84099191,0.7305376529693604,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00023,118-2026-10-004975-00-242,87089939,0,200,30024990,0.7771433591842651,0,0,0,0,0,0,0.0,0,1,1,1,0,0.0,0,1,1,1
DA-EVAL-V02-00024,118-2026-10-004975-00-243,87088020,0,200,29214500,0.6698387861251831,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00025,118-2026-10-004975-00-27,87089999,136,200,44032300,0.6346476674079895,0,0,0,0,0,0,0.0,0,0,1,1,1,0.007352941176470588,1,1,1,1
DA-EVAL-V02-00026,118-2026-10-004975-00-28,87089100,0,200,30024990,0.781936526298523,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00027,118-2026-10-004975-00-29,87089999,95,200,29072300,0.6298315525054932,0,0,0,0,0,1,0.010526315789473684,1,1,1,1,1,0.010526315789473684,1,1,1,1
DA-EVAL-V02-00028,118-2026-10-004975-00-30,87082990,0,200,84213920,0.7120951414108276,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00029,118-2026-10-004975-00-31,87089999,92,200,29072300,0.6293143033981323,0,0,0,0,0,1,0.010869565217391304,1,1,1,1,1,0.010869565217391304,1,1,1,1
DA-EVAL-V02-00030,118-2026-10-004975-00-312,87089999,140,200,42021110,0.7444285154342651,0,0,0,0,0,0,0.0,0,0,1,1,1,0.007142857142857143,1,1,1,1
DA-EVAL-V02-00031,118-2026-10-004975-00-314,87089999,60,200,03031200,0.782776415348053,0,0,0,0,0,1,0.016666666666666666,1,1,1,1,1,0.016666666666666666,1,1,1,1
DA-EVAL-V02-00032,118-2026-10-004975-00-315,87089999,0,200,27102000,0.8044164776802063,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00033,118-2026-10-004975-00-32,87089100,0,200,56039200,0.683272123336792,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,1,1
DA-EVAL-V02-00034,118-2026-10-004975-00-34,87089999,0,200,90072010,0.7212967276573181,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00035,118-2026-10-004975-00-362,87089999,63,200,56039300,0.6789193153381348,0,0,0,0,0,1,0.015873015873015872,1,1,1,1,1,0.015873015873015872,1,1,1,1
DA-EVAL-V02-00036,118-2026-10-004975-00-4,87089999,8,200,30024990,0.7618930339813232,0,0,0,1,1,1,0.125,1,1,1,1,1,0.125,1,1,1,1
DA-EVAL-V02-00037,118-2026-10-004975-00-41,87089999,62,200,03031200,0.7666081190109253,0,0,0,0,0,1,0.016129032258064516,1,1,1,1,1,0.016129032258064516,1,1,1,1
DA-EVAL-V02-00038,118-2026-10-004975-00-439,87089999,55,200,84185000,0.7528718709945679,0,0,0,0,0,1,0.01818181818181818,1,1,1,1,1,0.01818181818181818,1,1,1,1
DA-EVAL-V02-00039,118-2026-10-004975-00-447,87082100,0,200,84185000,0.7611057162284851,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00040,118-2026-10-004975-00-450,87082920,0,200,03031200,0.6812679767608643,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00041,118-2026-10-004975-00-465,87088020,0,200,84185000,0.7235488295555115,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00042,118-2026-10-004975-00-468,87082920,0,200,30046000,0.7704028487205505,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00043,118-2026-10-004975-00-471,87082920,0,200,87081000,0.7479586601257324,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00044,118-2026-10-004975-00-472,87082920,0,200,84185000,0.7722113132476807,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00045,118-2026-10-004975-00-473,87082920,0,200,84185000,0.7722113132476807,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00046,118-2026-10-004975-00-479,87082920,0,200,84185000,0.7692846655845642,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00047,118-2026-10-004975-00-49,87089999,0,200,74094000,0.7207757234573364,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,1
DA-EVAL-V02-00048,118-2026-10-004975-00-51,87089999,0,200,42021110,0.6968889832496643,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,1,1,1
DA-EVAL-V02-00049,118-2026-10-004975-00-52,87089200,0,200,03031200,0.7549854516983032,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00050,118-2026-10-004975-00-524,87082920,0,200,87081000,0.7368652820587158,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00051,118-2026-10-004975-00-54,87089200,0,200,42021210,0.7358840703964233,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00052,118-2026-10-004975-00-55,87089200,0,200,84185000,0.6870189905166626,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00053,118-2026-10-004975-00-6,87089999,24,200,03063692,0.8080965280532837,0,0,0,0,1,1,0.041666666666666664,1,1,1,1,1,0.041666666666666664,1,1,1,1
DA-EVAL-V02-00054,118-2026-10-004975-00-7,87089999,23,200,03063692,0.8515729904174805,0,0,0,0,1,1,0.043478260869565216,1,1,1,1,1,0.043478260869565216,1,1,1,1
DA-EVAL-V02-00055,118-2026-10-004975-00-70,87089999,0,200,85071000,0.7996318936347961,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
DA-EVAL-V02-00056,118-2026-10-004975-00-75,87089999,55,200,84185000,0.7637845277786255,0,0,0,0,0,1,0.01818181818181818,1,1,1,1,1,0.01818181818181818,1,1,1,1
DA-EVAL-V02-00057,118-2026-10-004975-00-76,87089100,0,200,44032400,0.7108280062675476,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00058,118-2026-10-004975-00-77,87088020,0,200,29110000,0.7217754125595093,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00059,118-2026-10-004975-00-78,87088020,0,200,48059220,0.6839097738265991,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00060,118-2026-10-004975-00-79,87088020,0,200,48026200,0.7184362411499023,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00061,118-2026-10-004975-00-84,87089200,0,200,27102000,0.8096725940704346,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00062,118-2026-10-004975-00-85,87089200,0,200,27102000,0.8096725940704346,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00063,118-2026-10-004975-00-86,87089999,0,200,44032400,0.8160339593887329,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00064,118-2026-10-004975-00-91,87089100,0,200,03063692,0.7746660113334656,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00065,118-2026-10-008922-00-1,87081000,0,200,03031200,0.7139919996261597,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,1,1
DA-EVAL-V02-00066,118-2026-10-008922-00-10,87089100,0,200,44032400,0.6637343764305115,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00067,118-2026-10-008922-00-11,87089100,0,200,48059320,0.6371361017227173,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00068,118-2026-10-008922-00-12,87089100,0,200,96032100,0.6349228620529175,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00069,118-2026-10-008922-00-13,87082920,0,200,48059320,0.6089004278182983,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00070,118-2026-10-008922-00-18,87082920,0,200,48059220,0.62562096118927,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00071,118-2026-10-008922-00-19,87082920,0,200,44032400,0.6591140627861023,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00072,118-2026-10-008922-00-2,87082930,0,200,42034000,0.7030794024467468,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,1,1
DA-EVAL-V02-00073,118-2026-10-008922-00-20,87082930,0,200,69021000,0.7092055082321167,0,0,0,0,0,0,0.0,0,0,0,1,0,0.0,0,0,1,1
DA-EVAL-V02-00074,118-2026-10-008922-00-21,87081000,0,200,03031200,0.7969070672988892,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00075,118-2026-10-008922-00-24,87081000,0,200,03031200,0.8418774604797363,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00076,118-2026-10-008922-00-25,87082990,0,200,36050000,0.6238197088241577,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00077,118-2026-10-008922-00-26,87082990,0,200,56039200,0.6349753141403198,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00078,118-2026-10-008922-00-27,87081000,0,200,84371011,0.5706733465194702,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00079,118-2026-10-008922-00-3,87089100,0,200,86063000,0.7029236555099487,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00080,118-2026-10-008922-00-33,87089100,0,200,84185000,0.6079843044281006,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00081,118-2026-10-008922-00-34,87089100,0,200,56039400,0.635703444480896,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00082,118-2026-10-008922-00-35,87089100,0,200,44032400,0.5976820588111877,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00083,118-2026-10-008922-00-36,87089100,0,200,86063000,0.6160764694213867,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00084,118-2026-10-008922-00-37,87089100,0,200,84715000,0.6564028263092041,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00085,118-2026-10-008922-00-39,87082920,0,200,34053000,0.5863252878189087,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00086,118-2026-10-008922-00-4,87089100,0,200,86063000,0.604339599609375,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00087,118-2026-10-008922-00-40,87082920,0,200,37024300,0.5661514401435852,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
DA-EVAL-V02-00088,118-2026-10-008922-00-46,87081000,0,200,03031200,0.8349992036819458,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00089,118-2026-10-008922-00-47,87082930,0,200,56039300,0.5433963537216187,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00090,118-2026-10-008922-00-5,87082990,0,200,03063692,0.6463204622268677,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00091,118-2026-10-008922-00-55,87082930,0,200,71022900,0.5927363634109497,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00092,118-2026-10-008922-00-57,87082990,0,200,56039200,0.5787303447723389,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00093,118-2026-10-008922-00-58,87082990,0,200,56039200,0.6162427663803101,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
DA-EVAL-V02-00094,118-2026-10-008922-00-6,87082990,0,200,03063692,0.6334299445152283,0,0,0,0,0,0,0.0,0,0,1,1,0,0.0,0,0,1,1
