case_id,candidate_rank,candidate_code,evidence_id,normative_reference,generic_rule_triggered,trigger_text,warnings_field_valid,generic_normative_warning_when_required,warning_and_limitations_output,deterministic_failure_reason
DA-EVAL-V02-00106,1,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,0,No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación | No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00106,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,0,No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación | No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00106,3,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,0,No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación | No se especifica si es híbrido o no | No se especifica el tipo de sistema de alimentación,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00675,1,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00675,2,87046090,NANDINA_87046090,8704.60.90 - - Los demás u,1,8704.60.90 - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00675,3,87034090,NANDINA_87034090,8703.40.90 - - Los demás u,1,8703.40.90 - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00676,1,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00676,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,"Evidencia normativa generica | Específicamente para otros tipos de vehículos, no para pick up",
DA-EVAL-V02-00676,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,"Evidencia normativa generica | Específicamente para otros tipos de vehículos, no para pick up",
DA-EVAL-V02-00677,1,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00677,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,0,Cilindrada y Peso no coinciden con la mercancía observada,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00677,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,0,Tipo de vehículo no coincide con la mercancía observada,MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00680,1,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00680,2,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00680,3,87046090,NANDINA_87046090,8704.60.90 - - Los demás u,1,8704.60.90 - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00681,1,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00681,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00681,3,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,1,Evidencia generica | Evidencia generica,
DA-EVAL-V02-00686,1,87042110,NANDINA_87042110,"8704.21.10 - - - Inferior o igual a 4,537 t u",0,,1,1,,
DA-EVAL-V02-00686,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00686,3,87032390,NANDINA_87032390,8703.23.90 - - - Los demás u,1,8703.23.90 - - - Los demás u,1,1,Evidencia generica: 'Los demás u',
DA-EVAL-V02-00887,1,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00887,2,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00887,3,87082910,NANDINA_87082910,8708.29.10 - - - Techos (capotas) u,0,,1,1,,
DA-EVAL-V02-00888,1,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00888,2,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00888,3,87082910,NANDINA_87082910,8708.29.10 - - - Techos (capotas) u,0,,1,1,,
DA-EVAL-V02-00889,1,87079090,NANDINA_87079090,8707.90.90 - - Las demás u,0,,1,1,,
DA-EVAL-V02-00889,2,87085011,NANDINA_87085011,8708.50.11 - - - Ejes con diferencial u,0,,1,1,,
DA-EVAL-V02-00889,3,87089999,NANDINA_87089999,8708.99.99 - - - - Los demás u,1,8708.99.99 - - - - Los demás u,1,0,"Descripción general, no específica la cabina",MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00284,1,87038090,NANDINA_87038090,8703.80.90 - - Los demás u,1,8703.80.90 - - Los demás u,1,0,Falta información sobre el tipo de vehículo (hatchback vs cuatrimoto),MISSING_GENERIC_NORMATIVE_WARNING
DA-EVAL-V02-00284,2,87032290,NANDINA_87032290,8703.22.90 - - - Los demás u,1,8703.22.90 - - - Los demás u,1,0,Falta información sobre el tipo de vehículo (hatchback vs cuatrimoto),MISSING_GENERIC_NORMATIVE_WARNING
