finding_id,status,severity,resolution,classification,dependency_type,scope,r1_r2_preserved,r5,execution_repository_head,original_diagnostic_status,original_severity,previous_state,final_state,scientific_results_affected,isolated_size_causal_effect_claim_allowed,description,evidence,scientific_impact,reproducibility_impact,corrective_action,blocking_scope,nonblocking_scope
G2A-F001,PARTIALLY_RESOLVED,S2,HISTORICAL_ENVIRONMENT_INCOMPLETE_BUT_EXPLICITLY_DELIMITED,HISTORICAL_ENVIRONMENT_INCOMPLETE,NOT_APPLICABLE,G2A_HISTORICAL_REPRODUCIBILITY,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,EXPLICIT_CURRENT_ENV_ONLY_DELIMITATION,false,NOT_APPLICABLE,historical runtime environment is incomplete but its known and current-only values are explicitly delimited,g2a_environment_inventory_v0.1.json,no scientific defect,R1 R2 evidence preserved; exact historical environment is incomplete,retain explicit environment taxonomy,none,G2A closure and Group1 frozen evidence
G2A-F002,NOT_RECOVERABLE,S2,EXP04_C_HISTORICAL_RUNNER_NOT_VERSIONED_AT_EXECUTION,EXP04_C_HISTORICAL_RUNNER_LIMITATION,NOT_APPLICABLE,R3_EXACT_COMPUTATIONAL_REPETITION_LIMITATION,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HISTORICAL_RUNNER_NOT_VERSIONED_AT_EXECUTION,false,NOT_APPLICABLE,EXP04 C historical runner cannot be reconstructed exactly,versioned output metadata and Git audit,no result invalidation,R1 R2 preserved; R3 exact computational repetition limited,retain declared historical runner limitation,none,G2A closure and Group1 frozen evidence
G2A-F003,PARTIALLY_RESOLVED,S2,SCRIPT_AND_CONFIG_PROVENANCE_RECOVERED_EXECUTION_HEAD_UNKNOWN,EXECUTION_PROVENANCE_PARTIAL,NOT_APPLICABLE,D1A_HISTORICAL_EXECUTION,true,PARTIAL,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SCRIPT_AND_CONFIG_PROVENANCE_RECOVERED,false,NOT_APPLICABLE,D1a script and config provenance are recoverable but the complete execution repository head is not,training metadata; Git log follow; Git show; Git rev-list; Git diff,no result invalidation,R1 R2 and partial R4; exact full execution checkout unavailable,record execution head UNKNOWN and recovered file provenance,none,G2A closure and Group1 frozen evidence
G2A-F004,PARTIALLY_RESOLVED,S2,LLM_AND_AI_EVALUATION_NOT_BYTE_EXACTLY_REPRODUCIBLE,LLM_AI_EVALUATION_REPRODUCIBILITY_LIMITATION,NOT_APPLICABLE,R5_PARTIAL,true,PARTIAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,R5_PARTIAL,false,NOT_APPLICABLE,LLM inference and AI evaluation cannot be guaranteed byte exactly reproducible,HE4 and reranker manifests,no result invalidation,R1 R2 preserved; R5 partial,retain recorded model runtime and parameter evidence,none,G2A closure and Group1 frozen evidence
G2A-F005,NOT_RECOVERABLE,S2,EXP08_V01_METADATA_NOT_RECOVERABLE_NO_RETROSPECTIVE_RECONSTRUCTION,EXP08_V01_METADATA_LIMITATION,NOT_APPLICABLE,R3_HISTORICAL_METADATA_LIMITATION,true,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NO_RETROSPECTIVE_RECONSTRUCTION,false,NOT_APPLICABLE,EXP08 v0.1 metadata is not recoverable,EXP08 gate and source audit,no result invalidation,R1 R2 preserved; historical v0.1 metadata unavailable,do not manufacture historical metadata,none,G2A closure and Group1 frozen evidence
G2A-F006,VERIFIED_IN_G2,S3,EXP11_EXP12_REPRODUCIBILITY_CONTRACTS_IMPLEMENTED_AND_TESTED,G2_REPRODUCIBILITY_CONTRACT_IMPLEMENTATION,NOT_APPLICABLE,G2A_PROSPECTIVE_CONTRACTS,true,NOT_APPLICABLE,NOT_APPLICABLE,OPEN,S3,OPEN,VERIFIED_IN_G2,false,NOT_APPLICABLE,EXP11 and EXP12 reproducibility contracts are implemented and tested,versioned G2A contracts; planner; contract tests,no scientific defect,prospective execution remains gated,retain tested contracts and fail-closed gates,none,G2A closure and prospective execution gates
G2A-F007,OPEN,S3_SCOPED_FUTURE,FUTURE_DEPENDENCY_UNRESOLVED,FUTURE_HISTORICAL_DEPENDENCY,FUTURE_DEPENDENCY,EXP11B_H150_H200_AND_ALL_EXP12_EXECUTION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OPEN,OPEN,false,NOT_APPLICABLE,H150 H200 bank is not yet available and has no path or SHA,no expanded historical gate exists,no scientific defect,blocks only future new-data execution,retain fail-closed requirement until a new historical gate is approved,EXP11B H150 H200; all EXP12 execution,G2A closure; EXP11A H25 H50 H75 H100
G2A-F008,VERIFIED_IN_G2,S3_SCOPED_TO_EXP11A_DESIGN,FROZEN_PRE_EXECUTION_CORRECTION,PRE_EXECUTION_DESIGN_INFEASIBILITY,NOT_APPLICABLE,EXP11A_SUPERSEDED_NESTED_DESIGN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PRE_EXECUTION_DESIGN_INFEASIBILITY,FROZEN_PRE_EXECUTION_CORRECTION,false,NOT_APPLICABLE,the original nested complete-DAM size design is mathematically infeasible under frozen H100 bands,H100=2950; dominant DAM rows=1045 and 940; remaining=965; minimum nested H75=2575 exceeds 2361,no scientific results affected; Group1 reopen required=false,R1 R2 pre-execution design evidence,retain the 100000-seed scan as supplementary evidence and use independent condition subsets,superseded nested design,redesigned EXP11A planning
G2A-F009,VERIFIED_IN_G2,S2,DECLARED_LIMITATION,STRUCTURAL_SIZE_COMPOSITION_COUPLING,NOT_APPLICABLE,EXP11A_INTERPRETATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,STRUCTURAL_SIZE_COMPOSITION_COUPLING,DECLARED_LIMITATION,false,false,frozen H100 volume bands force H25 to exclude both dominants H50 to include exactly one and H75 to include both,independent-condition feasibility evidence with 30 DAM-complete compositions,no scientific results affected; Group1 reopen required=false,R1 R2 pre-execution composition evidence,report EXP11A as sensitivity under natural composition constraints and prohibit isolated causal-size claims,causal isolated-size overstatement,redesigned EXP11A planning
G2A-F010,VERIFIED_IN_G2,S2,RESOLVED_PRE_EXECUTION_BY_H50_STRATIFICATION,H50_DOMINANT_STRATUM_IMBALANCE,NOT_APPLICABLE,EXP11A_H50_STRATIFICATION,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2_D1_8_D2,5_D1_5_D2,false,NOT_APPLICABLE,v0.1 H50 had dominant D1 in 2 of 10 and D2 in 8 of 10; v0.2 uses equal paired strata,exp11_independent_condition_feasibility_v0.1.json and v0.2 paired correction,no scientific results affected; Group1 reopen required=false,R1 R2 pre-execution planning evidence,retain v0.1 as finding evidence and v0.2 as the balanced 5 D1 5 D2 correction,unstratified H50 aggregation,balanced H50 candidate design
