artifact,phase,legacy_sha256,canonical_git_lf_sha256,legacy_representation,canonical_representation,scientific_content_changed,git_tracked,eol_attribute,index_eol,worktree_eol,evidence
data/processed/data_aduanas_splits_clase87_v0.2_metadata.json,EXP-04 A,1ac08e760bc3885866507a4c1ca515430c417e812dc01c7dece0f513c5e4d9ec,e3946d946a417afaa71b77ca23d18cf5db20ed9b584941f0e78a2768340c1ef7,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,EXP-04 / GROUP 1,79097fcc162cca8690f9382b5e529cfbd8d714575ad7fb96fc044eca2343d027,9c2ee54c1e8c04c004e09ab5c5c0b4d02f326dcf9a308723edbd6eef1aa1f770,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/data_aduanas_splits_clase87_v0.2/concentration_summary_v0.2.json,EXP-04 / GROUP 1,0e8fce3a290f78f745bf1859b6bb10448e54b9d93bb4fcef93a047fde04be246,b9a2200a9e5c95218a138d8ca391134585baaf394dfa86a32ec2d459f8d36e2b,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp05_unified_eval_hash_v0.2/exp05_eval_consumer_inventory_v0.2.csv,EXP-05,eb3cb8ed1fca5e7c122baa007b628f4769bf760034807b706084fd2a3d8b67e7,3c32d63b355df4f1fc7c90cf2a39f25626890429174c50af2a6768db98254d08,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp05_unified_eval_hash_v0.2/gate_exp05_unified_eval_hash_manifest_v0.2.json,EXP-04 / GROUP 1,929ba1f34699cf511a28913543098f09db84d8b8a3a284b91993be78db0c72b4,db5dba9c56ad3cd1dd9ccccb9bacea0d8ed2e4b358f8f90f39d99e34993c4b1c,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp05_unified_eval_hash_v0.2/summary_exp05.md,EXP-05,9e8430b3b693b29af729d05c77aa55fb1eb85a2d0660f9cedb04a5eeccaf35f5,eaea01db6259873f904b3556a5878a634dfea976828bc74c5f9317d712e342ab,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_dev_eval_usage_inventory_v0.2.csv,EXP-07,84dafe4f2e5aa6bdf819ff9c88485287405aa45ce411ddf04742b80d083f7318,bed98d77760129de01c9365f1028d5bcd8fac349af8b0f0ad704d9bacc2a457f,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_freeze_timeline_v0.2.csv,EXP-07,22d86f4422acfaeb13a45fc66552ec19e86b07d333342a005e548aee123f58a5,2d835c3f21ddefaf30da32263152d4475ff799e9e121ff22549f2dbfd59aedf7,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp07_dev_eval_freeze_v0.2/exp07_post_freeze_change_audit_v0.2.csv,EXP-07,02be2a43c7534b82588482a70b66600fed8fbbe06aace86f53cd6b66969098f7,9f7a781c8ce827af16a1c7b9560ded521f275a0e34fb39aaaa0f45cb2e64a512,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp07_dev_eval_freeze_v0.2/gate_exp07_dev_eval_freeze_manifest_v0.2.json,EXP-04 / GROUP 1,5bc0b186628e71ec3651de3f7956a489e2db0ccbd535e434696fb0f49aafc1dd,998a6ace66354323d7a32ef9c5563b7fb6ea4a20f4bb6c91f154f7a0eb246e74,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/audits/exp07_dev_eval_freeze_v0.2/summary_exp07.md,EXP-07,11347b07e460d7be34e98621220a489aacf94774f83ba5b2ff1cc1765b85a595,2f93dfca51b59fb92eceee9e68002aac17daa0c8ff6b090985a55f483263c284,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_consolidated_limitations_v0.2.csv,EXP-04 / GROUP 1,c92799646e1e13c7e5bf21d72932985ee0b8b6e7d82e9d674b4f1f60cc625c8a,b76a639487206efc95317708454290205403c95b3692e4ada5f59ec8c4332de5,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_provenance_registry_v0.2.csv,EXP-04 / GROUP 1,e9a5a7de7cac9f7cd5fe15e9dd386b5a0eaf9861c0e415b3b26cdd065cdb629a,d60ade799c38b2ee666dc285a7064b0b9aeafaf5970c7e0b253ae53a5ec0562b,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_final_results_registry_v0.2.csv,EXP-04 / GROUP 1,35984c5f86eb0f769cff1c464888d2cf99207da7f3c34c40cdfd606abc633fcc,f3ade9f541f45bdb74cbb010a5d630e4b3b705896d5e9563a4dfd47c1880118a,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_group1_card_closure_matrix_v0.2.csv,EXP-04 / GROUP 1,16463eebbc7cc3ab9fa55d3a03868a0d9ec07eeb8609c6a392f985a5aa80ddec,37ef7ff78af5073f82fb6872b25f27df6007c015e2823b7d3405376a79f3b215,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp04_consolidated_closure_v0.2/exp04_hypothesis_status_registry_v0.2.csv,EXP-04 / GROUP 1,465a8cbb46dfcbed5005e3d7443469f234cd30dd55a6157d6c7bc75578811faf,c561ff1b24b19557d7bc32fd1ac5cf1e384f7967e4d45333c98a7dab9381cbdc,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,lf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_code_coverage_v01_vs_v02.csv,EXP-08,107a173d5dc914b272cbd7045c7cbea1b1e5824c0954fdbe5b998ccc3d10b948,87bdccd3cc22913426196c22f28bc88273fd8661bb68c71163c237390b1a9325,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_code_sensitivity_v01_vs_v02.csv,EXP-08,cd865c00e5c3afc368562c9dded59e312b5de28392f24a43ddb29525999f9dd6,182694084b70ad6557193460f33c22797672a260029a4de0d50b50084599c569,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_common_eval_case_availability_v01_vs_v02.json,EXP-08,fb7da6a8e93a5fd212b4542494b9525ffe3abcabd162f8fe36b6e7344c26793f,128385ee53b63e6cf91fcb084379785024f45f1cf944087fec65a6d3434a52d7,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_comparability_audit_v01_vs_v02.json,EXP-08,dd6230cdbc9424b16e2dee4267816030d5426c787331827d4c669a56aad4ebc8,88eb4ccbf8c8622817092986e88f30927da2d91e275e6bf954bdb7b57b11585a,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_duplicate_sensitivity_comparison_v01_vs_v02.csv,EXP-08,3fb1dc8de257462b796efafee76e043048eaf58705963bf05a4284f17bfe4f24,434ff5eabdeb251c2481da3ced53b9174f4808a84ae34a25cb2c78e2f2c0b792,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_final_he5_assessment_v0.2.json,EXP-08,30f70745a075570d3bbfbc7114aab59b0bd6929bd1a371c7afc3a0518282afff,aa21af1c8301032a7b399d91a001b94a992eb1d8f54b8f8e3fcefca8ecb6e18b,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_global_sensitivity_v01_vs_v02.csv,EXP-08,0f7dba6b7dcc1043c08ebe0474a75cc527fedda1714647b0ba20b6febef4c739,0cae88a84c7915cbfbaddac6aa6b3f990c0ca71ed4823f51f48489a6ea7614a7,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/exp08_he2_sensitivity_assessment_v0.2.json,EXP-08,c751f7c1fe0c0b2caa26fdf6379c5a01de4f5e917557a715d0372aafd56c70ec,14338d538a55ac121a8639864bf639761a4a79a5e7c545cf43a7e054dbd06674,WORKTREE_CRLF_BYTES,CANONICAL_GIT_LF_CONTENT_BYTES,false,true,attr/text eol=lf,lf,crlf,legacy SHA equals in-memory CRLF reconstruction of the canonical Git LF blob
