component_id,scientific_role,input_paths,input_sha256,script_path,script_commit_or_provenance,config_path,config_sha256,seed,model_name,model_digest,prompt_path,prompt_sha256,schema_path,environment_evidence,output_paths,output_sha256,case_level_evidence,manifest_path,git_tracked,asset_class,reproducibility_level,status,gap,severity
SPLIT_V02,frozen DAM split,data/processed/data_aduanas_historico_clase87_v0.1.csv;data/processed/data_aduanas_devset_clase87_v0.1.csv;data/processed/data_aduanas_evalset_clase87_v0.1.csv,locked in src/configs/data_aduanas_split_clase87_v0.2.json,UNKNOWN,VERSIONED_GIT_PROVENANCE,src/configs/data_aduanas_split_clase87_v0.2.json,5d65dca7f2d31e5bb61ffaa6acbdac5ac57e64ebc6a1653fdf5a2e93267be3b9,2026,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_SPLIT_CONFIG,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,outputs/audits/data_aduanas_splits_clase87_v0.2,outputs/audits/data_aduanas_splits_clase87_v0.2/audit_summary_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP04_A,historical BM25 ranking,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,src/experiments/evaluate_historical_retrieval_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_RUN_METADATA,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json,5334e64ab2b3f812f939b652fe1ee8ad8db24b673ebb48fd4d7b1ddb0dd444fa,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_case_summary.csv,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/run_metadata.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,environment partially recorded,S1
EXP04_B,normative flat BM25,data/processed/corpus_rag_v1_index.jsonl;data/processed/data_aduanas_evalset_clase87_v0.2.csv,83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,src/experiments/evaluate_normative_bm25_flat_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_RUN_METADATA,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_metrics.json,56a702398d3b9d1483ecd1be3ca79587682ad8fd3afd84858917f248b5ae0460,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_case_summary.csv,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/run_metadata.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,environment partially recorded,S1
EXP04_C,normative hierarchical BM25,data/processed/corpus_rag_v1_index.jsonl;data/processed/data_aduanas_evalset_clase87_v0.2.csv,83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,src/experiments/evaluate_normative_bm25_hierarchical_data_aduanas_v02.py,UNTRACKED_HISTORICAL_RUNNER_LIMITATION,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,HISTORICAL_OUTPUTS_VERSIONED,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json,557c46668cfd51fbeabba0ecdb9bf3ca4a2a34a7f2850384252c5d963a26fd9f,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_case_summary.csv,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/run_metadata.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2_PARTIAL_R3,CLOSED_WITH_DECLARED_LIMITATION,historical runner cannot be reconstructed exactly,S2
EXP04_D1A,Text2Trade inspired MNRL,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv;data/processed/corpus_rag_v1_index.jsonl,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941;83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0,src/experiments/train_text2trade_mnrl_v02.py,script_last_modifying_commit_before_execution=a91269ed3b5c52d08511063465be130adf185f0a;execution_repository_head=UNKNOWN,src/configs/text2trade_mnrl_v0.2.json,d5bb787f726330285b1a3d85a2b370a7c37ee055c3d8904225a3b26f18c27254,2026,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,base model safetensors=7f4f89d628f87ade0e0b57c40affb6402cd77abc8110584d8d35dc86da514ee8,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Python 3.10.11;Windows-10-10.0.26200-SP0;Torch 2.12.0+cpu,outputs/training/text2trade_mnrl_v0.2/training_metadata.json,3d1c5f3b0a3d0f9bd72e9ab61b60710acd8ff22cb5e8797465cafc217ceff075,outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_case_summary.csv,docs/exp04_text2trade_mnrl_d1a_v02_reproducibility_manifest.json,true,RUNTIME_ONLY_DEPENDENCY,R1_R2_PARTIAL_R4,PARTIALLY_RESOLVED,full repository HEAD at execution is not evidenced,S2
EXP04_E,normative candidate pools,data/processed/corpus_rag_v1_index.jsonl;data/processed/data_aduanas_evalset_clase87_v0.2.csv,83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,src/experiments/evaluate_normative_candidate_pools_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/normative_candidate_pools_v0.2.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_RUN_METADATA,outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_metrics.json,1c183346a63d69817def2f6b1ef9666023cd32eed53e599d9842ff4d6900122f,outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_case_summary.csv,outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_run_metadata.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP04_F,historical normative integration,versioned historical and normative artifacts,RECORDED_IN_INTEGRATION_METADATA,src/experiments/evaluate_historical_normative_integration_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/historical_normative_integration_v0.2.json,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_RUN_METADATA,outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_metrics.json,6d21801fea34dec4d0e519f5df1b522df65533c869b9b765000f4e6bf8d781c9,outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_case_summary.csv,outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_run_metadata.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP04_G,diagnostic LLM reranker,versioned eval and candidate artifacts,RECORDED_IN_RERANKER_METADATA,src/experiments/evaluate_diagnostic_llm_reranker_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/diagnostic_llm_reranker_v0.2.json,UNKNOWN,0,qwen2.5:7b-instruct,RECORDED_IN_RERANKER_METADATA,src/prompts/reranker_diagnostic_v0.2.txt,UNKNOWN,NOT_APPLICABLE,LLM runtime recorded,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2/reranker_metrics_v0.2.json,16c662f902019781b4b001e66017191990aae699d47c03e137fe7cb9b8180bb5,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2/reranker_case_results_v0.2.csv,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2/reranker_run_metadata_v0.2.json,true,OPTIONAL_DIAGNOSTIC_ASSET,R1_R2_PARTIAL_R5,CLOSED_WITH_DECLARED_LIMITATION,LLM byte reproducibility unavailable,S1
EXP04_H,HE4 deterministic case selection,versioned HE4 inputs,RECORDED_IN_HE4_MANIFEST,src/experiments/prepare_he4_pre_explainer_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,2026,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,VERSIONED_HE4_MANIFEST,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_h_pre_explainer_freeze_v0.2.json,UNKNOWN,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_sample_evaluation_only_v0.2.csv,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_h_pre_explainer_freeze_v0.2.json,true,VERSIONED_FROZEN_EVIDENCE,R1_R2,CLOSED_BY_GROUP1,NOT_APPLICABLE,S0
EXP04_I,HE4 local explanation generation,versioned HE4 selected cases,RECORDED_IN_HE4_MANIFEST,src/experiments/run_he4_explanation_generation_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,SEED_NOT_FROZEN,qwen2.5:7b-instruct,845db... recorded in gate I manifest,src/llm/explain_top3_nandina_prompt_v0.2.md,UNKNOWN,src/configs/he4_explainer_schema_v0.2.json,Ollama 0.32.15;Q4_K_M;num_ctx 8192;temperature 0,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_i_generation_manifest_v0.2.json,UNKNOWN,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/he4_responses_parsed_v0.2.jsonl,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_i_generation_manifest_v0.2.json,true,RUNTIME_ONLY_DEPENDENCY,R1_R2_PARTIAL_R5,CLOSED_WITH_DECLARED_LIMITATION,LLM seed not recorded,S1
