chain_id,result,output_path,output_sha256,script_path,script_provenance,config_path,config_sha256,seed,input_paths,input_sha256,source_provenance,reproducibility_level,status,gap
HISTORICAL_TOP3_MRR,H100 historical Top-3 and MRR,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json,5334e64ab2b3f812f939b652fe1ee8ad8db24b673ebb48fd4d7b1ddb0dd444fa,src/experiments/evaluate_historical_retrieval_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,versioned run metadata,R1_R2,COMPLETE_R1_R2,environment partially recorded
NORMATIVE_FLAT,Normative flat ranking,outputs/evaluation/normative_bm25_flat_data_aduanas_clase87_v0.2/normative_metrics.json,56a702398d3b9d1483ecd1be3ca79587682ad8fd3afd84858917f248b5ae0460,src/experiments/evaluate_normative_bm25_flat_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,data/processed/corpus_rag_v1_index.jsonl;data/processed/data_aduanas_evalset_clase87_v0.2.csv,83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,versioned run metadata,R1_R2,COMPLETE_R1_R2,environment partially recorded
NORMATIVE_HIERARCHICAL,Normative hierarchical ranking,outputs/evaluation/normative_bm25_hierarchical_data_aduanas_clase87_v0.2/normative_hierarchical_metrics.json,557c46668cfd51fbeabba0ecdb9bf3ca4a2a34a7f2850384252c5d963a26fd9f,src/experiments/evaluate_normative_bm25_hierarchical_data_aduanas_v02.py,UNTRACKED_HISTORICAL_RUNNER_LIMITATION,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,data/processed/corpus_rag_v1_index.jsonl;data/processed/data_aduanas_evalset_clase87_v0.2.csv,83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,versioned output and metadata,R1_R2_PARTIAL_R3,PARTIAL_R3,historical runner not exact
D1A,Text2Trade inspired MNRL,outputs/training/text2trade_mnrl_v0.2/training_metadata.json,3d1c5f3b0a3d0f9bd72e9ab61b60710acd8ff22cb5e8797465cafc217ceff075,src/experiments/train_text2trade_mnrl_v02.py,script=a91269ed3b5c52d08511063465be130adf185f0a;execution_head=UNKNOWN,src/configs/text2trade_mnrl_v0.2.json,d5bb787f726330285b1a3d85a2b370a7c37ee055c3d8904225a3b26f18c27254,2026,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv;data/processed/corpus_rag_v1_index.jsonl,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941;83768faae816b9d9b33a8fd36b73068d8b5f0b7a186e1c0f5b1c2c27580290f0,training metadata and Git forensic reconstruction,R1_R2_PARTIAL_R4,PARTIAL_R4,execution repository head unknown
INTEGRATION_F,Historical normative integration,outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_metrics.json,6d21801fea34dec4d0e519f5df1b522df65533c869b9b765000f4e6bf8d781c9,src/experiments/evaluate_historical_normative_integration_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/historical_normative_integration_v0.2.json,UNKNOWN,NOT_APPLICABLE,versioned historical and normative retrieval artifacts,RECORDED_IN_INTEGRATION_METADATA,versioned integration metadata,R1_R2,COMPLETE_R1_R2,NOT_APPLICABLE
DIAGNOSTIC_RERANKER_G,Diagnostic reranker,outputs/evaluation/diagnostic_llm_reranker_data_aduanas_clase87_v0.2/reranker_metrics_v0.2.json,16c662f902019781b4b001e66017191990aae699d47c03e137fe7cb9b8180bb5,src/experiments/evaluate_diagnostic_llm_reranker_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/diagnostic_llm_reranker_v0.2.json,UNKNOWN,0,versioned eval and candidate artifacts,RECORDED_IN_RERANKER_METADATA,Ollama metadata and prompt,R1_R2_PARTIAL_R5,PARTIAL_R5,LLM seed absent
HE4,HE4 selection generation and rubric,outputs/evaluation/he4_top3_explainer_data_aduanas_clase87_v0.2/gate_k_qualitative_evaluation_manifest_v0.2.json,9f3ac3c189bad47a9f67f03530c2aea9411d01fa170df4e3b90ced7035201bba,src/experiments/close_he4_qualitative_ai_scoring_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/he4_rubric_v0.2.json,UNKNOWN,PARTIAL,versioned HE4 case and generation artifacts,RECORDED_IN_HE4_MANIFEST,HE4 gate chain,R1_R2_PARTIAL_R5,PARTIAL_R5,AI evaluator identity absent
HE5,HE5 historical retrieval evidence,outputs/evaluation/historical_retrieval_data_aduanas_clase87_v0.2/historical_metrics.json,5334e64ab2b3f812f939b652fe1ee8ad8db24b673ebb48fd4d7b1ddb0dd444fa,src/experiments/evaluate_historical_retrieval_data_aduanas_v02.py,VERSIONED_GIT_PROVENANCE,src/configs/experiment_config.json,UNKNOWN,NOT_APPLICABLE,data/processed/data_aduanas_historico_clase87_v0.2.csv;data/processed/data_aduanas_evalset_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff;3ddb7a0e80d8bfa20b985655f03d6ab65470b40f0738093413909b6584aee941,versioned case-level ranking evidence,R1_R2,COMPLETE_R1_R2,NOT_APPLICABLE
EXP08,v0.1 versus v0.2 sensitivity,outputs/evaluation/exp08_split_sensitivity_v01_vs_v02/gate_exp08_split_sensitivity_manifest_v0.2.json,5bdad4563dac016eb1aa1463dda3dfbe3450b49342ffbd8c38a041ca5898795d,UNKNOWN,VERSIONED_GATE_PROVENANCE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,versioned EXP-08 inputs,RECORDED_IN_EXP08_METADATA,versioned sensitivity gate,R1_R2_PARTIAL_R3,PARTIAL_R3,v0.1 metadata NOT_RECOVERABLE
G2A_EXP11_CONTRACT,EXP11 pre-execution reproducibility contract,outputs/audits/g2a_reproducibility_v0.1/exp11_independent_condition_feasibility_v0.2.json,UNCOMMITTED_G2A_OUTPUT,src/experiments/plan_historical_bank_conditions_v03.py,UNCOMMITTED_G2A_WORKTREE,src/configs/exp11_historical_size_sensitivity_v0.3.json,UNCOMMITTED_G2A_WORKTREE,20261001..20261010,data/processed/data_aduanas_historico_clase87_v0.2.csv,0990cdfe2a62638bff83a1182b0d6b0b727d670f63888044e99fd3ee0d7915ff,verified G2A contract tests,R1_R2_PENDING_EXTERNAL_FINAL_AUDIT,VERIFIED_IN_G2,F006 F008 F009 F010; no retrieval
G2A_EXP12_CONTRACT,EXP12 conditional reproducibility contract,src/configs/exp12_historical_diversity_control_v0.3.json,UNCOMMITTED_G2A_WORKTREE,src/experiments/plan_historical_bank_conditions_v03.py,UNCOMMITTED_G2A_WORKTREE,src/configs/exp12_historical_diversity_control_v0.3.json,UNCOMMITTED_G2A_WORKTREE,20262001..20262010,PENDING_NEW_HISTORICAL_GATE,NOT_APPLICABLE,verified G2A contract tests,R1_R2_PENDING_EXTERNAL_FINAL_AUDIT,VERIFIED_IN_G2,F006 verified; F007 blocks execution
