case_id,reference_nandina_evaluation_only,reference_rank_evaluation_only
DA-EVAL-V02-00106,87032390,1
DA-EVAL-V02-00675,87042110,1
DA-EVAL-V02-00676,87042110,1
DA-EVAL-V02-00677,87042110,1
DA-EVAL-V02-00680,87042110,1
DA-EVAL-V02-00681,87032390,1
DA-EVAL-V02-00686,87042110,1
DA-EVAL-V02-00887,87079090,1
DA-EVAL-V02-00888,87079090,1
DA-EVAL-V02-00889,87079090,1
DA-EVAL-V02-00284,87038090,1
DA-EVAL-V02-00002,87032290,1
DA-EVAL-V02-00003,87032290,1
DA-EVAL-V02-00004,87032290,1
DA-EVAL-V02-00017,87089929,1
DA-EVAL-V02-00426,87079090,2
DA-EVAL-V02-00427,87079090,2
DA-EVAL-V02-00439,87079090,2
DA-EVAL-V02-00440,87079090,2
DA-EVAL-V02-00441,87079090,2
DA-EVAL-V02-00442,87079090,2
DA-EVAL-V02-00685,87042110,2
DA-EVAL-V02-00671,87032390,3
DA-EVAL-V02-00682,87032390,3
DA-EVAL-V02-00285,87038090,3
DA-EVAL-V02-00927,87149400,3
DA-EVAL-V02-00973,87149400,3
DA-EVAL-V02-00112,87032290,2
DA-EVAL-V02-00113,87032290,2
DA-EVAL-V02-00239,87082100,2
DA-EVAL-V02-00001,87032410,0
DA-EVAL-V02-00168,87032310,0
DA-EVAL-V02-00500,87032390,0
DA-EVAL-V02-00423,87142000,0
DA-EVAL-V02-00501,87032390,0
DA-EVAL-V02-00287,87032310,0
DA-EVAL-V02-00914,87149400,0
DA-EVAL-V02-00948,87149400,0
DA-EVAL-V02-00971,87149400,0
DA-EVAL-V02-00972,87149400,0
DA-EVAL-V02-00740,87089500,0
DA-EVAL-V02-00770,87089500,0
DA-EVAL-V02-00925,87149400,0
DA-EVAL-V02-00975,87149400,0
DA-EVAL-V02-00947,87149400,0
DA-EVAL-V02-00920,87141090,0
DA-EVAL-V02-00960,87141090,0
DA-EVAL-V02-01020,87141090,0
DA-EVAL-V02-01021,87141090,0
DA-EVAL-V02-01022,87141090,0
