case_id,split,id_unico,DECLARACION,SERIE,Clase,Partida,Sub Partida,NANDINA,NANDINA ORIGINAL,DESCRIPCION DE PARTIDA ARANCELARIA,DESCRIPCION DE MERCANCIAS 1,DESCRIPCION DE MERCANCIAS 2,DESCRIPCION DE MERCANCIAS 3,DESCRIPCION DE MERCANCIAS 4,DESCRIPCION DE MERCANCIAS 5,DESCRIPCION DE MERCANCIAS CONCATENADA,FECHA NUMERACION,SUJETO A,1.1. ADUANA,1.2.- DECLARANTE,1.3. IMPORTADOR,1.5.- DIRECCION,3.1. AD/VALOREM - CANTIDAD A PAGAR $,3.1. AD/VALOREM - LIBERACION $,3.1. AD/VALOREM - LIQUIDACION $,3.1. MONEDA,3.11 TOTAL LIQUIDACION - CANTIDAD A PAGAR $,3.2. DERECHO ESPECIFICO - CANTIDAD A PAGAR $,3.2. DERECHO ESPECIFICO - LIBERACION $,3.2. DERECHO ESPECIFICO - LIQUIDACION $,3.2.- FEC.CARTA CRED,3.2.- FORMA DE PAGO,3.3. IMP. SELECTIVO CONSUMO - CANTIDAD A PAGAR $,3.3. IMP. SELECTIVO CONSUMO - LIBERACION $,3.3. IMP. SELECTIVO CONSUMO - LIQUIDACION $,3.3. PLAZO,3.4. ENT.FINANC.,3.4. IMP. PROMOCION MUNICIPAL - CANTIDAD A PAGAR $,3.4. IMP. PROMOCION MUNICIPAL - LIBERACION $,3.4. IMP. PROMOCION MUNICIPAL - LIQUIDACION $,3.5. IMP. GENERAL A LA VENTA - CANTIDAD A PAGAR $,3.5. IMP. GENERAL A LA VENTA - LIBERACION $,3.5. IMP. GENERAL A LA VENTA - LIQUIDACION $,3.6. DERECHO ANTIDUMPING - CANTIDAD A PAGAR $,3.6. DERECHO ANTIDUMPING - LIBERACION $,3.6. DERECHO ANTIDUMPING - LIQUIDACION $,3.7. TASA SERVICIO DESPACHO - CANTIDAD A PAGAR $,3.7. TASA SERVICIO DESPACHO - LIBERACION $,3.7. TASA SERVICIO DESPACHO - LIQUIDACION $,3.8. RECARGO NUMERACION - CANTIDAD A PAGAR $,3.8. RECARGO NUMERACION - LIBERACION $,3.8. RECARGO NUMERACION - LIQUIDACION $,3.9. SOBRETASA ADICIONAL - CANTIDAD A PAGAR $,3.9. SOBRETASA ADICIONAL - LIBERACION $,3.9. SOBRETASA ADICIONAL - LIQUIDACION $,4.1. MANIFIESTO,4.2 MODO,4.3. EMPRESA,4.4. FEC.LLEGADA,5.1. TERMINAL,5.10 RES.EXO.NUM.,5.12 TOTAL SERIES,5.13 TIPO TRATAMIENTO,5.5. TOTAL PESO NETO (KG),5.6. TOTAL PESO BRUTO(KG),5.7. TOTAL CANTIDAD BULTOS,5.8. TOTAL UNIDADES FISICAS,5.9. UNIDADES COMERCIALES,6.1. FOB - MONEDA TRANSACCION,6.1. FOB - TOTAL DOLARES (US$),6.2. FLETE - TOTAL DOLARES (US$),6.4. SEGURO - TOTAL DOLARES (US$),6.5. CIF - TOTAL DOLARES (US$),ADV $,BANCO DE CANCELACION,CANT. BULTOS,CLASE,COD. LIBER.,DECL.PREC.,ESTADO,FEC.EMB.,FECHA CANCELACION,FLETE,FOB US $,GUIA AEREA O B/L,IGV $,IPM $,ISC $,MONEDA TRANSC.,NABANDINA,PAIS ADQUISICION,PAIS ORIGEN,PESO BRUTO (KG),PESO NETO (KG),PUERTO EMBARQUE,SEGURO,TIPO U.C.,TRATO PREF. NAC.,TRATO PREF.INT.,ULTIMO DIA DE PAGO,UNIDADES COMERCIALES,UNIDADES FISICAS U.F.,__record_id,__dam_index,__series_index,__source_file,__sheet_name,__dam_row_start,__dam_row_end,__detail_table_index,__series_row_start,__series_row_end,__parse_warnings
DA-HIST-V02-00001,historico,118-2026-10-002590-00-101,118-2026-10-002590-00,101,87,8708,870840,87084090,87.08.40.90.00,"DEMAS CAJAS DE CAMBIO Y SUS PARTES, EXCL. MECANICOS","PALANCA DE CAMBIO, VARIOS, S/M",PALANCA DE CAMBIO COMPLETO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PALANCA DE CAMBIO, VARIOS, S/M PALANCA DE CAMBIO COMPLETO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,7.32,72.63,MAEU261502236,13,1.62,0,12106.16,0,JP-JAPAN,JP-JAPAN,24,24,CNSHA-SHANGHAI,1.27,U,0-,0-,2999-12-31,24,24.00 U,118-2026-10-002590-00-101,52,101,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24721,24732,
DA-HIST-V02-00002,historico,118-2026-10-002590-00-102,118-2026-10-002590-00,102,87,8708,870830,87083029,87.08.30.29.00,- - - Las demás partes,"PALANCA DE FRENO, VARIOS, S/M",PALANCA DE FRENO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PALANCA DE FRENO, VARIOS, S/M PALANCA DE FRENO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,2.44,24.21,MAEU261502236,4.33,0.54,0,4035.33,0,JP-JAPAN,JP-JAPAN,8,8,CNSHA-SHANGHAI,0.42,U,0-,0-,2999-12-31,8,8.00 U,118-2026-10-002590-00-102,52,102,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24733,24744,
DA-HIST-V02-00003,historico,118-2026-10-002590-00-103,118-2026-10-002590-00,103,87,8708,870850,87085011,87.08.50.11.00,- - - Ejes con diferencial,"PALIER EJE, VARIOS, S/M",PALIER EJE,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PALIER EJE, VARIOS, S/M PALIER EJE TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,78.16,774.79,MAEU261502236,138.64,17.33,0,129131.66,0,JP-JAPAN,JP-JAPAN,1280,1280,CNSHA-SHANGHAI,13.55,U,0-,0-,2999-12-31,128,128.00 U,118-2026-10-002590-00-103,52,103,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24745,24756,
DA-HIST-V02-00004,historico,118-2026-10-002590-00-104,118-2026-10-002590-00,104,87,8708,870829,87082930,87.08.29.30.00,"REJILLAS DELANTERAS(PERSIANAS, PARRILLAS)DE AUTOMOVILES","PARRILLA DE TECHO, VARIOS, S/M",PARRILLA DE TECHO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PARRILLA DE TECHO, VARIOS, S/M PARRILLA DE TECHO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,0.48,4.84,MAEU261502236,0.87,0.11,0,807,0,JP-JAPAN,JP-JAPAN,4,4,CNSHA-SHANGHAI,0.08,U,0-,0-,2999-12-31,4,4.00 U,118-2026-10-002590-00-104,52,104,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24757,24768,
DA-HIST-V02-00005,historico,118-2026-10-002590-00-105,118-2026-10-002590-00,105,87,8708,870899,87089999,87.08.99.99.00,- - - - Los demas,"PEDAL DE ACELERADOR, VARIOS, S/M",PEDAL DE ACELERADOR,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PEDAL DE ACELERADOR, VARIOS, S/M PEDAL DE ACELERADOR TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,0.3,3.02,MAEU261502236,0.54,0.07,0,504.5,0,JP-JAPAN,JP-JAPAN,2,2,CNSHA-SHANGHAI,0.05,U,0-,0-,2999-12-31,2,2.00 U,118-2026-10-002590-00-105,52,105,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24769,24780,
DA-HIST-V02-00006,historico,118-2026-10-002590-00-107,118-2026-10-002590-00,107,87,8708,870829,87082920,87.08.29.20.00,"GUARDAFANGOS,CUBIERTAS DE MOTOR,FLANCOS,PUERTAS,Y SUS PARTES","PLASTICO DE GUARDAFANGO, VARIOS, S/M",PLASTICO DE GUARDAFANGO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PLASTICO DE GUARDAFANGO, VARIOS, S/M PLASTICO DE GUARDAFANGO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,3.23,32.03,MAEU261502236,5.73,0.72,0,5338.83,0,JP-JAPAN,JP-JAPAN,21,21,CNSHA-SHANGHAI,0.56,U,0-,0-,2999-12-31,21,21.00 U,118-2026-10-002590-00-107,52,107,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24793,24804,
DA-HIST-V02-00007,historico,118-2026-10-002590-00-109,118-2026-10-002590-00,109,87,8708,870829,87082920,87.08.29.20.00,"GUARDAFANGOS,CUBIERTAS DE MOTOR,FLANCOS,PUERTAS,Y SUS PARTES","PUERTA DE AUTO, VARIOS, S/M",PUERTA DE AUTO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PUERTA DE AUTO, VARIOS, S/M PUERTA DE AUTO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,64.7,641.39,MAEU261502236,114.77,14.35,0,106899.83,0,JP-JAPAN,JP-JAPAN,585,585,CNSHA-SHANGHAI,11.22,U,0-,0-,2999-12-31,39,39.00 U,118-2026-10-002590-00-109,52,109,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24817,24828,
DA-HIST-V02-00008,historico,118-2026-10-002590-00-110,118-2026-10-002590-00,110,87,8708,870829,87082920,87.08.29.20.00,"GUARDAFANGOS,CUBIERTAS DE MOTOR,FLANCOS,PUERTAS,Y SUS PARTES","PUERTA DE TANQUE DE GASOLINA, VARIOS, S/M",PUERTA DE TANQUE DE GASOLINA,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"PUERTA DE TANQUE DE GASOLINA, VARIOS, S/M PUERTA DE TANQUE DE GASOLINA TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,1.28,12.71,MAEU261502236,2.28,0.28,0,2118.5,0,JP-JAPAN,JP-JAPAN,8,8,CNSHA-SHANGHAI,0.22,U,0-,0-,2999-12-31,8,8.00 U,118-2026-10-002590-00-110,52,110,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24829,24840,
DA-HIST-V02-00009,historico,118-2026-10-002590-00-111,118-2026-10-002590-00,111,87,8708,870891,87089100,87.08.91.00.00,RADIADORES DE VEHICULOS AUTOMOVILES,"RADIADOR, VARIOS, S/M",RADIADOR COMPLETO,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"RADIADOR, VARIOS, S/M RADIADOR COMPLETO TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,31.14,308.7,MAEU261502236,55.24,6.91,0,51451,0,JP-JAPAN,JP-JAPAN,510,510,CNSHA-SHANGHAI,5.4,U,0-,0-,2999-12-31,51,51.00 U,118-2026-10-002590-00-111,52,111,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24841,24852,
DA-HIST-V02-00010,historico,118-2026-10-002590-00-113,118-2026-10-002590-00,113,87,8708,870899,87089999,87.08.99.99.00,- - - - Los demas,"SENSOR DE MOTOR, VARIOS, S/M",SENSOR DE MOTOR,TIPO DE PRODUCTO: USADO,PARA USO AUTOMOTRIZ,RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000,"SENSOR DE MOTOR, VARIOS, S/M SENSOR DE MOTOR TIPO DE PRODUCTO: USADO PARA USO AUTOMOTRIZ RESOLUCION 0177-2021/SDC-INDECOPI / INFORME: 000010-2022-SUNAT/340000",2026-01-02,FISICO,MARITIMA DEL CALLAO 118,TRANSGLOBAL CUSTOMS LOGISTIC AGENCIA DE ADUANAS SOCIEDAD 3958,4-20511141754 C & S NIPPON AUTO PARTS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. MARISCAL OSCAR R. BENAVID NRO. 515 URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA,55,0,55,00:00:00,7753,0,0,0,,1:PAGO AL CONTADO,0,0,0,0,002:BANCO DE CREDITO DEL PERU,855,0,855,6843,0,6843,0,0,0,0,0,0,0,0,0,0,0,0,2025-3254,0,SKY AIRLINE PERU S.A.C.5030,2026-01-06,MEDLOG PERU S.A. 3727,0-,127,NORMAL 1,20740,20740,2390,2607,2607,0,65446.91,3867.73,777.31,70091.96,0,002BANCO DE CREDITO DEL PERU,0,PQT,0-,- - -,20,2025-11-18,2026-01-09,24.91,246.94,MAEU261502236,44.19,5.52,0,41156.66,0,JP-JAPAN,JP-JAPAN,28,28,CNSHA-SHANGHAI,4.32,U,0-,0-,2999-12-31,28,28.00 U,118-2026-10-002590-00-113,52,113,data\Series - Descripciones.xlsx,Hoja2,23478,25045,1,24865,24876,
