"artifact","phase","classification","size_bytes","tracked_before","tracked_after","required_by_test","portable_test_role","runtime_integration_role","action","sha256","notes"
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_run_metadata.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","8682","True","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","e931f79bf7429bd76b5511d1f1ef95a759fe2d89c4da80f45f956aa6b09958b3","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_metrics.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","605","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","6d21801fea34dec4d0e519f5df1b522df65533c869b9b765000f4e6bf8d781c9","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_evidence_coverage.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","1334","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","d9e8a65e7d96af8b01c46321624808908475d7c09733ac16f979af7401e9ad31","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_ranking_invariance.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","586","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","f3137e90eb62109991b905cadb79c2f1aabbfab022d13299a508f3e88d863d35","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_top3_invariance.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","201","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","a39f6fdbd87b29d3bebe61bae6997ed8983828b51678ee241d3f322547dfefee","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_traceability.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","207","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","bfb6d55350a8aaec15a0f8fe2f7950c2ebb1d6d1e849ed6c116c86c56579bfd0","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_compatibility.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","318","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","33d175820590962819eab76aedf54af6142a4b1ae6d4cd7b9cca21bc5466307c","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_label_leakage_audit.json","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","432","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","36db521c3a9856932d50e3a74e92489f08dfa9fe1b948336abdd744554eed6c8","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_candidate_slots.csv","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","2247299","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","2d2c79ef01aea312640997ae24754a86675f77076f728d95eee7bd52ed201035","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_case_summary.csv","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","78457","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","0b1916f9a91fcdc1f1c678db7cff45db984651fb26362ee86ebf7e6c6684f44e","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/integration_missing_exact_evidence.csv","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","108","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","393f20ed94b0f9e8659e7f60511335953fad61beec47c211b37729e11e697838","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/historical_normative_integration_data_aduanas_clase87_v0.2/summary.md","EXP-04 F","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","489","False","True","test_historical_normative_integration_v02; HE4 preconditions","Recompute integration slots, invariance, coverage and traceability.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","ebd185a82b3cb44db88940825beaf8c48dea6a908961db19e490bfa3d67f62f9","Frozen Phase F evidence verified against integration metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_run_metadata.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","7465","True","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","db1f860f67a7c372e7aac64c8ec671e3a8b26ffd24ee0521d46b691e12d6a25c","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_metrics.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","13434","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","1c183346a63d69817def2f6b1ef9666023cd32eed53e599d9842ff4d6900122f","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_compatibility.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","385","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","6c5575778c4d94b2fe7342211feaf80ebc040b847a1f19c300ea57f85ed8b323","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_complementarity.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","692","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","a642e2ec82b9087823b01a60f1564388a6333906a6a5e23d364096510ab8fb0c","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_backfill_analysis.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","3016","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","a2733426c2b48239962bccef02d719be113dd61f1bcd928129e15115314cdbb0","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_coverage_ceiling.json","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","2766","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","eccd40b650770215cf6b026a655a101284860f9a89ddc4c2e3aff12bc5c02451","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_results.csv","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","21330913","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","baed5290004744ef93af32704dd3c85bb41c2483aaf9e580d7f531825f4efc97","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_case_summary.csv","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","1630455","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","2280716a49742c8d8ff89c8d4f5452d44ce80a63b51cd6f3aad4c6596ff25f77","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_strategy_comparison.csv","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","4187","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","1f46f59243491482c15703d38ddae127f000dd7eff18078ae0ee4564da005a06","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_overlap.csv","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","207","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","3d93335f0ea36cb09c4694df94f248234b3a39284361b66fccd711d6352b0a07","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/candidate_pool_unrecovered_cases.csv","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","65292","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","04af2253bdad16c32e5d827e9e1ff31d95411a936dd5bdcf24bb3db3ddb46670","Frozen Phase E evidence verified against run metadata."
"outputs/evaluation/normative_candidate_pools_data_aduanas_clase87_v0.2/summary.md","EXP-04 E","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","2890","False","True","test_normative_candidate_pools_v02","Recompute pool coverage, complementarity and backfill.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","9f1dda5d05da0ee8f4254c77b115df8d0a57fcb80e9d8b4c6b28241f3d1740ba","Frozen Phase E evidence verified against run metadata."
"outputs/training/text2trade_mnrl_v0.2/training_metadata.json","EXP-04 D1a","REQUIRED_PROVENANCE_METADATA","7350","False","True","test_text2trade_mnrl_v02","Verify training rows, seed, loss and leakage audit.",,"VERSION_TRACKED_METADATA","3d1c5f3b0a3d0f9bd72e9ab61b60710acd8ff22cb5e8797465cafc217ceff075","No model loading is required."
"outputs/evaluation/text2trade_mnrl_data_aduanas_clase87_v0.2/d1a_ranked_codes_top200.jsonl","EXP-04 D1a","REQUIRED_FROZEN_SCIENTIFIC_EVIDENCE","2619936","False","True","test_text2trade_mnrl_v02","Recompute D1a metrics from the ranking trace.",,"VERSION_TRACKED_MINIMAL_EVIDENCE","96359579c984b736798b943711b58a9503d38ddb62a576248b720caf05c4570c","Frozen ranking trace."
"data/processed/indexes/text2trade_mnrl_nandina8_v0.2/retrieval_config.json","EXP-04 D1a","REQUIRED_PROVENANCE_METADATA","928","False","True","test_text2trade_mnrl_v02","Verify frozen index mapping and vector integrity evidence.",,"VERSION_TRACKED_METADATA","9f114ecb9bd79f998fcd114218248b746868a3c6ede141fa4f5964becebd40ce","Small metadata or integrity sample; no index binary."
"data/processed/indexes/text2trade_mnrl_nandina8_v0.2/text2trade_mnrl_nandina8_v02_run_metadata.json","EXP-04 D1a","REQUIRED_PROVENANCE_METADATA","5068","False","True","test_text2trade_mnrl_v02","Verify frozen index mapping and vector integrity evidence.",,"VERSION_TRACKED_METADATA","141211f31120ef744d854b45c1d7067aa8e3b9aa27bab88a0d351ca67d46975f","Small metadata or integrity sample; no index binary."
"data/processed/indexes/text2trade_mnrl_nandina8_v0.2/vector_integrity_gate_v0.2.json","EXP-04 D1a","REQUIRED_PROVENANCE_METADATA","702","False","True","test_text2trade_mnrl_v02","Verify frozen index mapping and vector integrity evidence.",,"VERSION_TRACKED_METADATA","b34dc2efe705af4e62ff175db58e5ee048830acef8c0e786af63b8fe0156166e","Small metadata or integrity sample; no index binary."
"data/processed/indexes/text2trade_mnrl_nandina8_v0.2/vector_integrity_sample_v0.2.csv","EXP-04 D1a","REQUIRED_PROVENANCE_METADATA","3688","False","True","test_text2trade_mnrl_v02","Verify frozen index mapping and vector integrity evidence.",,"VERSION_TRACKED_METADATA","17a35472221d72575cab17244d81157dd98801e657f3d1eed56f9abd83b62a45","Small metadata or integrity sample; no index binary."
