case_id,reference_nandina,hs6,hs4,chapter,reference_code_in_normative_corpus,flat_recovered_at_100,hierarchical_recovered_at_200,dual_recovered_at_200,d1a_recovered_at_200,pool_recovered_at_200,exact_duplicate_historical_flag,near_duplicate_historical_flag
DA-EVAL-V02-00001,87032410,870324,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00002,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00003,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00004,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00005,87087010,870870,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00006,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00007,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00008,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00009,87084090,870840,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00010,87084090,870840,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00011,87084090,870840,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00012,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00013,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00014,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00015,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00016,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00017,87089929,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00018,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00019,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00020,87089939,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00021,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00023,87089939,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00024,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00025,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00026,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00027,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00028,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00029,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00030,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00031,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00032,87089999,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00033,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00034,87089999,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00035,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00037,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00038,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00040,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00041,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00042,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00043,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00044,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00045,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00046,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00048,87089999,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00050,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00053,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00054,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00055,87089999,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00056,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00057,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00058,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00059,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00060,87088020,870880,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00063,87089999,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00064,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00065,87081000,870810,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00069,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00076,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00077,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00079,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00080,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00081,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00083,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00086,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00091,87082930,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00092,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00093,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00095,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00098,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00099,87082930,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00100,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00106,87032390,870323,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00107,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00112,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00113,87032290,870322,8703,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00124,87082910,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00125,87081000,870810,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00127,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00129,87089919,870899,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00130,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00131,87089100,870891,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00132,87085011,870850,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00134,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00135,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00136,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00137,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00138,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00139,87083029,870830,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00141,87083029,870830,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00143,87089400,870894,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00144,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00145,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00146,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00147,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00148,87089200,870892,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00149,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00150,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00151,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00152,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00153,87083029,870830,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00154,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00155,87082920,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00157,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00158,87085011,870850,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00159,87089999,870899,8708,87,True,False,False,False,True,False,False,False
DA-EVAL-V02-00160,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00161,87082990,870829,8708,87,True,False,False,False,False,False,False,False
DA-EVAL-V02-00162,87089999,870899,8708,87,True,False,False,False,True,False,False,False
