case_id,reference_nandina_for_evaluation,top3_codes,top3_contains_reference,top1_has_exact_evidence,top2_has_exact_evidence,top3_has_exact_evidence,exact_evidence_candidates,hs6_evidence_candidates,hs4_evidence_candidates,chapter_evidence_candidates,precedent_coverage_candidates,traceability_complete_candidates
DA-EVAL-V02-00001,87032410,87032390|87032290|87038090,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00002,87032290,87032290|87034090|87038090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00003,87032290,87032290|87034090|87032390,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00004,87032290,87032290|87034090|87038090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00005,87087010,87083029|87089999|87087020,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00006,87088020,87088020|87141090|87149900,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00007,87088020,87088020|87149290|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00008,87088020,87088020|87149290|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00009,87084090,87084010|87089400|87084090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00010,87084090,87089400|87099000|87083029,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00011,87084090,87089400|87099000|87083029,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00012,87089999,87149900|87089999|87141090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00013,87089999,87089400|87089939|87089932,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00014,87089999,87089400|87089933|87089932,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00015,87089999,87089939|87088090|87141090,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00016,87089999,87141090|87089939|87089999,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00017,87089929,87089929|87089999|87089921,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00018,87089100,87141090|87089100|87088090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00019,87089999,87088020|87149900|87149290,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00020,87089939,87089400|87087020|87141090,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00021,87089999,87089400|87089932|87089939,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00022,87089400,87089400|87089932|87089939,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00023,87089939,87089400|87089932|87142000,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00024,87088020,87088020|87089391|87084090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00025,87089999,87082990|87141090|87089400,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00026,87089100,87089100|87141090|87149400,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00027,87089999,87082990|87083029|87089400,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00028,87082990,87083022|87089999|87141090,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00029,87089999,87082990|87089400|87089999,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00030,87089999,87089100|87141090|87087020,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00031,87089999,87083022|87089999|87081000,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00032,87089999,87083022|87083029|87089999,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00033,87089100,87149290|87089100|87089400,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00034,87089999,87082990|87089400|87099000,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00035,87089999,87084090|87082990|87141090,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00036,87089999,87149900|87141090|87089999,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00037,87089999,87087020|87149400|87141090,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00038,87089999,87089999|87089399|87089400,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00039,87082100,87082100|87089999|87141090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00040,87082920,87083029|87141090|87082920,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00041,87088020,87149300|87149290|87141090,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00042,87082920,87082990|87141090|87081000,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00043,87082920,87149290|87141090|87082920,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00044,87082920,87149290|87082920|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00045,87082920,87149290|87082920|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00046,87082920,87082920|87099000|87141090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00047,87089999,87089999|87089200|87149400,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00048,87089999,87089200|87084090|87099000,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00049,87089200,87089200|87141090|87149900,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00050,87082920,87149290|87141090|87089999,0,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00051,87089200,87089200|87141090|87089400,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00052,87089200,87089200|87141090|87149300,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00053,87089999,87149900|87141090|87099000,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00054,87089999,87141090|87149900|87149300,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00055,87089999,87141090|87149290|87149900,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00056,87089999,87089100|87141090|87081000,0,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00057,87089100,87084090|87089100|87089999,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00058,87088020,87088020|87149290|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00059,87088020,87088020|87082920|87082930,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00060,87088020,87089399|87088020|87141090,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00061,87089200,87089200|87141090|87149300,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00062,87089200,87089200|87141090|87149300,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00063,87089999,87089999|87089100|87149900,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00064,87089100,87141090|87089100|87149400,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00065,87081000,87081000|87079090|87089999,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00066,87089100,87089100|87081000|87082920,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00067,87089100,87089100|87089399|87089391,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00068,87089100,87089100|87089999|87081000,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00069,87082920,87082920|87082930|87081000,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00070,87082920,87082920|87081000|87089100,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00071,87082920,87082920|87089100|87081000,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00072,87082930,87082930|87082920|87089100,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00073,87082930,87082990|87082930|87082920,1,1,1,1,3,3,3,3,3,3
DA-EVAL-V02-00074,87081000,87081000|87082930|87082910,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00075,87081000,87081000|87089999|87079090,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00076,87082990,87082920|87081000|87089999,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00077,87082990,87082920|87081000|87089999,0,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00078,87081000,87081000|87083029|87089999,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00079,87089100,87089100|87082910|87082920,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00080,87089100,87089100|87082920|87082930,1,1,1,1,3,2,3,3,3,3
DA-EVAL-V02-00081,87089100,87089100|87082920|87081000,1,1,1,1,3,1,3,3,3,3
DA-EVAL-V02-00082,87089100,87089100|87082920|87082910,1,1,1,1,3,2,3,3,3,3
