case_id,trazabilidad_score,trazabilidad_justification,verificabilidad_score,verificabilidad_justification,separacion_historico_normativo_score,separacion_historico_normativo_justification,prudencia_de_la_conclusion_score,prudencia_de_la_conclusion_justification,consistencia_con_top3_fijo_score,consistencia_con_top3_fijo_justification,deteccion_de_evidencia_normativa_generica_score,deteccion_de_evidencia_normativa_generica_justification,comparacion_entre_candidatos_score,comparacion_entre_candidatos_justification,utilidad_para_auditoria_humana_score,utilidad_para_auditoria_humana_justification,hard_violation,hard_violation_type,total_score,auditable,general_notes
DA-EVAL-V02-00106,2,"La ficha conserva case_id DA-EVAL-V02-00106 e id_unico 118-2026-10-009478-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87032390, 87032290, 87034090. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-048311-00-1, 118-2026-10-073097-00-1, 118-2026-10-047354-00-1 y 'Evidencia normativa usada' conserva NANDINA_87032390, NANDINA_87032290, NANDINA_87034090, cada uno asociado inequívocamente a su candidato.",0,Introduce 'Manual de 5 velocidades' sin que esa cantidad figure en la descripción; además marca 4x4 como coincidencia del candidato 1 frente a una mercancía 4x2 y declara no especificada la condición híbrida pese a que la ficha indica GASOLINA/encendido por chispa.,0,"Los tres textos normativos son residuales ('Los demás'), pero el LLM les atribuye SUV, GASOLINA y tracción como si fueran atributos normativos; la separación entre precedente y norma queda sustancialmente confundida.",2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87032390, ya que coincide en la marca, modelo, tipo de vehículo, uso y tipo de combustible, pero hay diferencias en el t…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87032390, 87032290, 87034090); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87032390 | Coincide en la marca, modelo, tipo de vehículo, uso y tipo de combustible, pero hay diferencias en el tipo de…",1,"Los tres textos normativos contienen 'Los demás'. La respuesta no los identifica expresamente como residuales, pero sí comunica limitaciones de especificidad ('no se especifica si es híbrido' y 'tipo de sistema de alimentación'). La detección es parcial, por lo que corresponde 1 y no 0.",1,"Existe una comparación explícita (marca • modelo • uso • tipo de combustible • tracción • tipo de transmisión), pero es superficial o contiene contrastes poco fiables; el resumen de los otros candidatos —87032290: Coincide en el tipo de vehículo, uso y tipo de combustible, pero hay diferencias en la marca, modelo, capacidad del motor y otros atri…— no explota de forma consistente los elementos normativos/técnicos disponibles.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'No se especifica si es híbrido o no • No se especifica el tipo de sistema de alimentación', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,9,NO,"Principal limitación: Introduce 'Manual de 5 velocidades' sin que esa cantidad figure en la descripción; además marca 4x4 como coincidencia del candidato 1 frente a una me… Además, Los tres textos normativos son residuales ('Los demás'), pero el LLM les atribuye SUV, GASOLINA y tracción como si fuer… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00675,2,"La ficha conserva case_id DA-EVAL-V02-00675 e id_unico 118-2026-10-054732-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87042110, 87046090, 87034090. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-087382-00-1, 118-2026-10-117220-00-1, 118-2026-10-047354-00-1 y 'Evidencia normativa usada' conserva NANDINA_87042110, NANDINA_87046090, NANDINA_87034090, cada uno asociado inequívocamente a su candidato.",0,"Declara VIN, MOT y CHA como datos faltantes aunque los tres aparecen en la descripción, y traslada 'Camioneta • Pick up • 2026' al bloque normativo cuya evidencia literal solo contiene el umbral de 4,537 t.",1,"Las fuentes aparecen en campos separados, pero el candidato 1 incorpora al bloque normativo atributos como 'Camioneta • Pick up • 2026' que proceden del precedente/descripción y no del literal normativo mostrado; la separación es solo parcial.",1,"Incluye la advertencia final de revisión experta y no declara una clasificación oficial, pero emplea una formulación más decisiva de lo que permite la evidencia: 'se clasifica mejor bajo la partida 87042110'.",2,"Conserva exactamente los tres códigos y su orden original (87042110, 87046090, 87034090); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87042110 | La descripción y la evidencia histórica coinciden claramente con la mercancía observada.",2,"Las ocurrencias residuales/genéricas realmente presentes quedan advertidas como 'Evidencia genérica' o equivalente: 87046090 (8704.60.90 - - Los demás u); 87034090 (8703.40.90 - - Los demás u). Aunque en algunos casos también sobre-advierta textos específicos, no usa las expresiones residuales reales como soporte fuerte sin señalarlas.",2,"Compara los tres candidatos con criterios explícitos (Tipo de vehículo • Uso/Función • Atributos técnicos) y aporta motivos diferenciados para los de menor soporte —La mercancía observada es una camioneta pick up, no un volqueta (87046090) • La mercancía observada es una camioneta pick up, no un SUV (87034090)—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'VIN • MOT • CHA', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,11,NO,"Principal limitación: Declara VIN, MOT y CHA como datos faltantes aunque los tres aparecen en la descripción, y traslada 'Camioneta • Pick up • 2026' al bloque normativo c… Además, Las fuentes aparecen en campos separados, pero el candidato 1 incorpora al bloque normativo atributos como 'Camioneta •… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00676,2,"La ficha conserva case_id DA-EVAL-V02-00676 e id_unico 118-2026-10-064520-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87042110, 87032290, 87032390. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-087382-00-1, 118-2026-10-069870-00-1, 118-2026-10-048311-00-1 y 'Evidencia normativa usada' conserva NANDINA_87042110, NANDINA_87032290, NANDINA_87032390, cada uno asociado inequívocamente a su candidato.",0,"Interpreta CC:2755 como 'capacidad de carga 2755 kg' y atribuye Pick Up, 4x4 y Diesel a la evidencia normativa 8704.21.10, cuyo texto suministrado solo expresa el umbral de peso.",0,"En el candidato 1, atributos del precedente (Pick Up, 4x4, Diesel, 2755 kg) se presentan como si provinieran del umbral normativo de 4,537 t; lo mismo ocurre con los residuales 2 y 3.",2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87042110, ya que coincide claramente con los atributos observables del producto. Los otros candidatos tienen evidencia n…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87042110, 87032290, 87032390); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87042110 | Coincide claramente con los atributos observables del producto.",2,"Las ocurrencias residuales/genéricas realmente presentes quedan advertidas como 'Evidencia genérica' o equivalente: 87032290 (8703.22.90 - - - Los demás u); 87032390 (8703.23.90 - - - Los demás u). Aunque en algunos casos también sobre-advierta textos específicos, no usa las expresiones residuales reales como soporte fuerte sin señalarlas.",1,"Existe una comparación explícita (Tipo de vehículo • Motor • Capacidad de carga • Longitud y dimensiones), pero es superficial o contiene contrastes poco fiables; el resumen de los otros candidatos —Evidencia normativa generica • No coincide con los detalles específicos del producto— no explota de forma consistente los elementos normativos/técnicos disponibles.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'Número de serie (SN)', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,10,NO,"Principal limitación: Interpreta CC:2755 como 'capacidad de carga 2755 kg' y atribuye Pick Up, 4x4 y Diesel a la evidencia normativa 8704.21.10, cuyo texto suministrado so… Además, En el candidato 1, atributos del precedente (Pick Up, 4x4, Diesel, 2755 kg) se presentan como si provinieran del umbral… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00677,2,"La ficha conserva case_id DA-EVAL-V02-00677 e id_unico 118-2026-10-064541-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87042110, 87032290, 87038090. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-087382-00-1, 118-2026-10-069870-00-1, 118-2026-10-008011-00-1 y 'Evidencia normativa usada' conserva NANDINA_87042110, NANDINA_87032290, NANDINA_87038090, cada uno asociado inequívocamente a su candidato.",0,"Marca SN como faltante pese a que figura SN:0 y atribuye a la norma 8704.21.10 cilindrada, año, tipo de vehículo y otros atributos que proceden del precedente/descripción, no del texto normativo suministrado.",0,"El bloque 'Evidencia normativa usada' replica tipo de vehículo, cilindrada, peso y año del precedente, aunque los textos normativos no contienen esos datos; la fuente histórica se convierte de hecho en soporte normativo.",2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87042110, ya que la descripción y la evidencia normativa coinciden claramente con los atributos observables de la mercan…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87042110, 87032290, 87038090); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87042110 | La descripción y la evidencia normativa coinciden claramente con los atributos observables de la mercancía.",1,"Los candidatos 2 y 3 contienen 'Los demás'. La respuesta no nombra su carácter residual, pero reduce su soporte mediante advertencias concretas sobre cilindrada, peso y tipo de vehículo; la genericidad queda comunicada solo de forma parcial.",2,"Compara los tres candidatos con criterios explícitos (Tipo de vehículo • Cilindrada • Peso • Año de fabricación) y aporta motivos diferenciados para los de menor soporte —El segundo candidato tiene diferencias en la cilindrada y el peso. • El tercer candidato no coincide con el tipo de vehículo observado.—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'Número de serie (SN) no especificado', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,10,NO,"Principal limitación: Marca SN como faltante pese a que figura SN:0 y atribuye a la norma 8704.21.10 cilindrada, año, tipo de vehículo y otros atributos que proceden del p… Además, El bloque 'Evidencia normativa usada' replica tipo de vehículo, cilindrada, peso y año del precedente, aunque los texto… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00680,2,"La ficha conserva case_id DA-EVAL-V02-00680 e id_unico 118-2026-10-072568-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87042110, 87032390, 87046090. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-087382-00-1, 118-2026-10-048311-00-1, 118-2026-10-117220-00-1 y 'Evidencia normativa usada' conserva NANDINA_87042110, NANDINA_87032390, NANDINA_87046090, cada uno asociado inequívocamente a su candidato.",0,Indica 'Número de serie' como faltante pese a SN:0 y asigna a evidencias residuales de los candidatos 2 y 3 atributos 'Camioneta • Pick up • 2026' que no están en sus textos normativos.,0,"Las normas residuales de 87032390 y 87046090 reciben atributos de la mercancía/precedente ('Camioneta • Pick up • 2026'), por lo que no se preserva la función diferenciada de cada fuente.",2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87042110, pero hay incertidumbre debido a la falta de detalles específicos en la evidencia.— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87042110, 87032390, 87046090); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87042110 | La descripción y la evidencia normativa coinciden claramente con la mercancía observada.",2,"Las ocurrencias residuales/genéricas realmente presentes quedan advertidas como 'Evidencia genérica' o equivalente: 87032390 (8703.23.90 - - - Los demás u); 87046090 (8704.60.90 - - Los demás u). Aunque en algunos casos también sobre-advierta textos específicos, no usa las expresiones residuales reales como soporte fuerte sin señalarlas.",2,"Compara los tres candidatos con criterios explícitos (Tipo de vehículo • Marca • Año de modelo) y aporta motivos diferenciados para los de menor soporte —El tipo de vehículo no coincide exactamente (SUV vs Pick up) • La evidencia es débil y no coincide con la mercancía observada.—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'Número de serie', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,11,NO,"Principal limitación: Indica 'Número de serie' como faltante pese a SN:0 y asigna a evidencias residuales de los candidatos 2 y 3 atributos 'Camioneta • Pick up • 2026' qu… Además, Las normas residuales de 87032390 y 87046090 reciben atributos de la mercancía/precedente ('Camioneta • Pick up • 2026'… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00681,2,"La ficha conserva case_id DA-EVAL-V02-00681 e id_unico 118-2026-10-076761-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87032390, 87032290, 87038090. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-048311-00-1, 118-2026-10-096423-00-1, 118-2026-10-008011-00-1 y 'Evidencia normativa usada' conserva NANDINA_87032390, NANDINA_87032290, NANDINA_87038090, cada uno asociado inequívocamente a su candidato.",0,"La ficha contiene NC:6 y PB:2949, pero la respuesta los presenta como datos faltantes; además usa como 'coincidencias' SUV para precedentes que en la evidencia son un hatchback y una cuatrimoto.",2,"Mantiene bloques separados de 'Evidencia histórica usada' y 'Evidencia normativa usada'. En el candidato 1 cita el precedente por su identificador y conserva el literal normativo '8703.23.90 - - - Los demás u', expresando sus limitaciones sin convertir el precedente en norma de forma sustancial.",2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87032390, pero hay incertidumbre debido a la falta de detalles técnicos específicos en la evidencia normativa y históric…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87032390, 87032290, 87038090); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87032390 | Coincide en la categoría de SUV, pero hay diferencias significativas en los detalles técnicos.",2,"Las ocurrencias residuales/genéricas realmente presentes quedan advertidas como 'Evidencia genérica' o equivalente: 87032390 (8703.23.90 - - - Los demás u); 87032290 (8703.22.90 - - - Los demás u); 87038090 (8703.80.90 - - Los demás u). Aunque en algunos casos también sobre-advierta textos específicos, no usa las expresiones residuales reales como soporte fuerte sin señalarlas.",1,"Existe una comparación explícita (uso_funcion • material_o_composicion • atributos_tecnicos), pero es superficial o contiene contrastes poco fiables; el resumen de los otros candidatos —Coincide en la categoría de SUV, pero hay diferencias significativas en los detalles técnicos. • Coincide en la categoría de SUV, pero hay difer…— no explota de forma consistente los elementos normativos/técnicos disponibles.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'Número de cilindros • Peso bruto', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,12,SI,"Principal limitación: La ficha contiene NC:6 y PB:2949, pero la respuesta los presenta como datos faltantes; además usa como 'coincidencias' SUV para precedentes que en la… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00686,2,"La ficha conserva case_id DA-EVAL-V02-00686 e id_unico 118-2026-10-088233-00-1; los ranks 1/2/3 se identifican por candidato con NANDINA 87042110, 87032290, 87032390. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-087382-00-1, 118-2026-10-069870-00-1, 118-2026-10-048311-00-1 y 'Evidencia normativa usada' conserva NANDINA_87042110, NANDINA_87032290, NANDINA_87032390, cada uno asociado inequívocamente a su candidato.",0,"Presenta SN:0 y NR:4 como datos faltantes aunque están explícitos, y reproduce numerosos atributos del precedente dentro de 'Evidencia normativa usada', incluso para textos 'Los demás'.",0,"Los detalles completos de los precedentes se copian a 'Evidencia normativa usada', incluidos marca, modelo, combustible y medidas, incluso cuando la norma solo dice 'Los demás'.",2,La conclusión usa soporte relativo o incertidumbre —El candidato 1 (87042110) tiene el mayor soporte documental y se ajusta mejor a la mercancía observada.— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.,2,"Conserva exactamente los tres códigos y su orden original (87042110, 87032290, 87032390); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87042110 | La descripción y la evidencia histórica coinciden claramente con la mercancía observada en términos de tipo d…",2,"Las ocurrencias residuales/genéricas realmente presentes quedan advertidas como 'Evidencia genérica' o equivalente: 87032290 (8703.22.90 - - - Los demás u); 87032390 (8703.23.90 - - - Los demás u). Aunque en algunos casos también sobre-advierta textos específicos, no usa las expresiones residuales reales como soporte fuerte sin señalarlas.",2,"Compara los tres candidatos con criterios explícitos (tipo de mercancia • uso/funcion • atributos tecnicos) y aporta motivos diferenciados para los de menor soporte —El candidato 2 (87032290) tiene diferencias en el tipo de vehículo, marca, modelo, y atributos técnicos. • El candidato 3 (87032390) tiene diferencias sig…—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'SN:0 • NR:4', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,11,NO,"Principal limitación: Presenta SN:0 y NR:4 como datos faltantes aunque están explícitos, y reproduce numerosos atributos del precedente dentro de 'Evidencia normativa usad… Además, Los detalles completos de los precedentes se copian a 'Evidencia normativa usada', incluidos marca, modelo, combustible… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00887,2,"La ficha conserva case_id DA-EVAL-V02-00887 e id_unico 118-2026-10-144736-00-12; los ranks 1/2/3 se identifican por candidato con NANDINA 87079090, 87085011, 87082910. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-050585-00-1, 118-2026-10-050585-00-12, 118-2026-10-050585-00-33 y 'Evidencia normativa usada' conserva NANDINA_87079090, NANDINA_87085011, NANDINA_87082910, cada uno asociado inequívocamente a su candidato.",1,"La norma del candidato 1 solo dice 'Las demás', pero la respuesta la convierte en evidencia de CABINA y hasta la califica como específica para Volvo FM, especificidad que proviene del precedente histórico.",0,La explicación afirma que la evidencia histórica y la norma 87079090 coinciden en CABINA y que la norma es específica para Volvo FM; en realidad esa especificidad solo existe en el precedente.,2,"La conclusión usa soporte relativo o incertidumbre —El candidato con mayor soporte es 87079090, ya que la descripción histórica y la normativa coinciden en que se trata de una cabina, aunque la normativa es…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87079090, 87085011, 87082910); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87079090 | La descripción histórica y la normativa coinciden en que se trata de una cabina, aunque la normativa es espec…",0,"87079090 contiene 'Las demás', pero se presenta como soporte de CABINA y no se marca como residual; la genericidad principal queda sin advertencia.",2,"Compara los tres candidatos con criterios explícitos (uso_funcion • producto) y aporta motivos diferenciados para los de menor soporte —El segundo candidato se refiere a ejes, no a cabina. • El tercer candidato se refiere a capots, no a cabina.—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'material de la cabina', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,10,NO,"Principal limitación: La norma del candidato 1 solo dice 'Las demás', pero la respuesta la convierte en evidencia de CABINA y hasta la califica como específica para Volvo… Además, La explicación afirma que la evidencia histórica y la norma 87079090 coinciden en CABINA y que la norma es específica p… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00888,2,"La ficha conserva case_id DA-EVAL-V02-00888 e id_unico 118-2026-10-144736-00-13; los ranks 1/2/3 se identifican por candidato con NANDINA 87079090, 87085011, 87082910. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-050585-00-1, 118-2026-10-050585-00-12, 118-2026-10-050585-00-33 y 'Evidencia normativa usada' conserva NANDINA_87079090, NANDINA_87085011, NANDINA_87082910, cada uno asociado inequívocamente a su candidato.",1,"La evidencia normativa 87079090 es 'Las demás', pero la respuesta le atribuye CABINA y una limitación específica para VOLVO FM, trasladando información del precedente al soporte normativo.",0,Se usa el precedente de cabina VOLVO para caracterizar la norma residual 'Las demás' como si también describiera CABINA/VOLVO; la distinción fuente histórica–normativa se pierde.,2,"La conclusión usa soporte relativo o incertidumbre —La cabina de NISSAN, UD, usada para vehículos, se alinea mejor con la clase 87079090, aunque la evidencia no es perfecta debido a la falta de especificaci…— y cierra indicando que es apoyo documental para revisión experta y no reemplaza la clasificación oficial; no afirma certeza jurídica.",2,"Conserva exactamente los tres códigos y su orden original (87079090, 87085011, 87082910); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87079090 | Coincide con la descripción de la mercancia en términos generales, aunque no especifica la marca y modelo exa…",1,"El candidato 1 usa 'Las demás'. No se etiqueta explícitamente como residual, pero la explicación limita su alcance al señalar que la coincidencia es solo general y que no especifica la marca/modelo exactos; la detección es débil pero no inexistente.",2,"Compara los tres candidatos con criterios explícitos (uso_funcion • marca_modelo) y aporta motivos diferenciados para los de menor soporte —87085011 no coincide con la descripción de la mercancia, ya que se refiere a un eje y no a una cabina. • 87082910 no coincide con la descripción de la mer…—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'material de la cabina', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,11,NO,"Principal limitación: La evidencia normativa 87079090 es 'Las demás', pero la respuesta le atribuye CABINA y una limitación específica para VOLVO FM, trasladando informaci… Además, Se usa el precedente de cabina VOLVO para caracterizar la norma residual 'Las demás' como si también describiera CABINA… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
DA-EVAL-V02-00889,2,"La ficha conserva case_id DA-EVAL-V02-00889 e id_unico 118-2026-10-144736-00-14; los ranks 1/2/3 se identifican por candidato con NANDINA 87079090, 87085011, 87089999. 'Evidencia histórica usada' conserva los identificadores 118-2026-10-050585-00-1, 118-2026-10-050585-00-12, 118-2026-10-050585-00-18 y 'Evidencia normativa usada' conserva NANDINA_87079090, NANDINA_87085011, NANDINA_87089999, cada uno asociado inequívocamente a su candidato.",1,Afirma que descripción y evidencia normativa 'coinciden claramente' para CABINA cuando 87079090 solo aporta 'Las demás'; además incorpora VOLVO/EJE como atributos normativos del candidato 2 sin estar en el texto normativo.,0,La norma 'Las demás' se presenta como evidencia que coincide claramente con una cabina y los detalles VOLVO/EJE/CILINDRO se trasladan al campo normativo desde los precedentes.,1,"Incluye la advertencia final de revisión experta y no declara una clasificación oficial, pero emplea una formulación más decisiva de lo que permite la evidencia: 'se clasifica mejor bajo la partida 87079090'.",2,"Conserva exactamente los tres códigos y su orden original (87079090, 87085011, 87089999); el 'Mayor soporte declarado' permanece dentro del Top-3 y no agrega ni elimina candidatos: Rank 1 | 87079090 | La descripción y la evidencia normativa coinciden claramente con la mercancia observada.",0,87079090 ('Las demás') y 87089999 ('Los demás') no se califican como evidencias genéricas; la primera incluso se usa como coincidencia normativa clara.,2,"Compara los tres candidatos con criterios explícitos (uso_funcion • marca_modelo) y aporta motivos diferenciados para los de menor soporte —Eje delantero específico no mencionado (87085011) • Descripción general, no específica la cabina (87089999)—, en lugar de limitarse a repetir sus descripciones.",1,"Orienta parcialmente al identificar un candidato de mayor soporte y señalar 'material o composición • detalles técnicos específicos', pero los errores o mezclas descritos en verificabilidad/separación reducen la confianza y no dejan un siguiente paso de revisión suficientemente preciso.",NO,NONE,9,NO,"Principal limitación: Afirma que descripción y evidencia normativa 'coinciden claramente' para CABINA cuando 87079090 solo aporta 'Las demás'; además incorpora VOLVO/EJE c… Además, La norma 'Las demás' se presenta como evidencia que coincide claramente con una cabina y los detalles VOLVO/EJE/CILINDR… No se observa violación dura: el Top-3 formal se conserva, no se introducen códigos NANDINA externos y la salida visible mantiene la advertencia de revisión experta. El JSON técnico no es verificable directamente en esta ficha human-readable, por lo que no se activa la causal F."
