case_id,selection_bucket,selection_position_within_bucket,selected_directly,fallback_used,fallback_source,fallback_reason,reference_code,reference_rank_recomputed,reference_rank_group,support_count_dams,DAM,NANDINA
DA-EVAL-V02-00106,rank_1,1,true,false,,,87032390,1,rank_1,1,118-2026-10-009478-00,87032390
DA-EVAL-V02-00675,rank_1,2,true,false,,,87042110,1,rank_1,1,118-2026-10-054732-00,87042110
DA-EVAL-V02-00676,rank_1,3,true,false,,,87042110,1,rank_1,1,118-2026-10-064520-00,87042110
DA-EVAL-V02-00677,rank_1,4,true,false,,,87042110,1,rank_1,1,118-2026-10-064541-00,87042110
DA-EVAL-V02-00680,rank_1,5,true,false,,,87042110,1,rank_1,1,118-2026-10-072568-00,87042110
DA-EVAL-V02-00681,rank_1,6,true,false,,,87032390,1,rank_1,1,118-2026-10-076761-00,87032390
DA-EVAL-V02-00686,rank_1,7,true,false,,,87042110,1,rank_1,1,118-2026-10-088233-00,87042110
DA-EVAL-V02-00887,rank_1,8,true,false,,,87079090,1,rank_1,1,118-2026-10-144736-00,87079090
DA-EVAL-V02-00888,rank_1,9,true,false,,,87079090,1,rank_1,1,118-2026-10-144736-00,87079090
DA-EVAL-V02-00889,rank_1,10,true,false,,,87079090,1,rank_1,1,118-2026-10-144736-00,87079090
DA-EVAL-V02-00284,rank_1,11,true,false,,,87038090,1,rank_1,2,118-2026-10-028002-00,87038090
DA-EVAL-V02-00002,rank_1,12,true,false,,,87032290,1,rank_1,3,118-2026-10-001133-00,87032290
DA-EVAL-V02-00003,rank_1,13,true,false,,,87032290,1,rank_1,3,118-2026-10-001566-00,87032290
DA-EVAL-V02-00004,rank_1,14,true,false,,,87032290,1,rank_1,3,118-2026-10-001787-00,87032290
DA-EVAL-V02-00017,rank_1,15,true,false,,,87089929,1,rank_1,3,118-2026-10-004975-00,87089929
DA-EVAL-V02-00426,rank_2_3,1,true,false,,,87079090,2,rank_2_3,1,118-2026-10-036105-00,87079090
DA-EVAL-V02-00427,rank_2_3,2,true,false,,,87079090,2,rank_2_3,1,118-2026-10-036105-00,87079090
DA-EVAL-V02-00439,rank_2_3,3,true,false,,,87079090,2,rank_2_3,1,118-2026-10-038080-00,87079090
DA-EVAL-V02-00440,rank_2_3,4,true,false,,,87079090,2,rank_2_3,1,118-2026-10-038080-00,87079090
DA-EVAL-V02-00441,rank_2_3,5,true,false,,,87079090,2,rank_2_3,1,118-2026-10-038080-00,87079090
DA-EVAL-V02-00442,rank_2_3,6,true,false,,,87079090,2,rank_2_3,1,118-2026-10-038080-00,87079090
DA-EVAL-V02-00685,rank_2_3,7,true,false,,,87042110,2,rank_2_3,1,118-2026-10-087957-00,87042110
DA-EVAL-V02-00671,rank_2_3,8,true,false,,,87032390,3,rank_2_3,1,118-2026-10-052270-00,87032390
DA-EVAL-V02-00682,rank_2_3,9,true,false,,,87032390,3,rank_2_3,1,118-2026-10-077064-00,87032390
DA-EVAL-V02-00285,rank_2_3,10,true,false,,,87038090,3,rank_2_3,2,118-2026-10-028016-00,87038090
DA-EVAL-V02-00927,rank_2_3,11,true,false,,,87149400,3,rank_2_3,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00973,rank_2_3,12,true,false,,,87149400,3,rank_2_3,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00112,rank_2_3,13,true,false,,,87032290,2,rank_2_3,3,118-2026-10-016934-00,87032290
DA-EVAL-V02-00113,rank_2_3,14,true,false,,,87032290,2,rank_2_3,3,118-2026-10-016934-00,87032290
DA-EVAL-V02-00239,rank_2_3,15,true,false,,,87082100,2,rank_2_3,3,118-2026-10-025850-00,87082100
DA-EVAL-V02-00001,rank_4_10,1,true,false,,,87032410,4,rank_4_10,1,118-2026-10-000136-00,87032410
DA-EVAL-V02-00168,rank_4_10,2,true,false,,,87032310,5,rank_4_10,1,118-2026-10-017759-00,87032310
DA-EVAL-V02-00500,rank_4_10,3,true,false,,,87032390,5,rank_4_10,1,118-2026-10-042140-00,87032390
DA-EVAL-V02-00423,rank_4_10,4,true,false,,,87142000,7,rank_4_10,1,118-2026-10-036105-00,87142000
DA-EVAL-V02-00501,rank_4_10,5,true,false,,,87032390,8,rank_4_10,1,118-2026-10-042754-00,87032390
DA-EVAL-V02-00287,rank_4_10,6,true,false,,,87032310,9,rank_4_10,1,118-2026-10-031666-00,87032310
DA-EVAL-V02-00914,rank_4_10,7,true,false,,,87149400,4,rank_4_10,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00948,rank_4_10,8,true,false,,,87149400,4,rank_4_10,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00971,rank_4_10,9,true,false,,,87149400,4,rank_4_10,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00972,rank_4_10,10,true,false,,,87149400,4,rank_4_10,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00740,difficult_low_support,1,true,false,,,87089500,45,rank_11_50,1,118-2026-10-128946-00,87089500
DA-EVAL-V02-00770,difficult_low_support,2,true,false,,,87089500,45,rank_11_50,1,118-2026-10-128946-00,87089500
DA-EVAL-V02-00925,difficult_low_support,3,true,false,,,87149400,11,rank_11_50,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00975,difficult_low_support,4,true,false,,,87149400,11,rank_11_50,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00947,difficult_low_support,5,true,false,,,87149400,12,rank_11_50,2,118-2026-10-147973-00,87149400
DA-EVAL-V02-00920,difficult_low_support,6,true,false,,,87141090,11,rank_11_50,3,118-2026-10-147973-00,87141090
DA-EVAL-V02-00960,difficult_low_support,7,true,false,,,87141090,11,rank_11_50,3,118-2026-10-147973-00,87141090
DA-EVAL-V02-01020,difficult_low_support,8,true,false,,,87141090,12,rank_11_50,3,118-2026-10-147973-00,87141090
DA-EVAL-V02-01021,difficult_low_support,9,true,false,,,87141090,12,rank_11_50,3,118-2026-10-147973-00,87141090
DA-EVAL-V02-01022,difficult_low_support,10,true,false,,,87141090,12,rank_11_50,3,118-2026-10-147973-00,87141090
