case_id,error_type,error_family,evidence_source,pre_specification_class
DA-EVAL-V02-00001,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00001,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00001,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00001,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00001,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00001,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00001,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00001,HE4_LOW_VERIFIABILITY,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00002,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00002,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00002,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00002,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00002,GENERIC_NORMATIVE_WARNING_MISS,EXPLANATION_AUDITABILITY,J,TECHNICAL_DERIVED
DA-EVAL-V02-00002,HE4_LOW_VERIFIABILITY,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00002,HE4_HISTORICAL_NORMATIVE_SEPARATION_WEAK,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00002,HE4_NOT_AUDITABLE,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00003,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00003,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00003,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00003,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00003,GENERIC_NORMATIVE_WARNING_MISS,EXPLANATION_AUDITABILITY,J,TECHNICAL_DERIVED
DA-EVAL-V02-00003,HE4_LOW_VERIFIABILITY,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00003,HE4_HISTORICAL_NORMATIVE_SEPARATION_WEAK,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00003,HE4_NOT_AUDITABLE,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00004,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00004,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00004,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00004,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00004,HE4_LOW_VERIFIABILITY,EXPLANATION_AUDITABILITY,K,TECHNICAL_DERIVED
DA-EVAL-V02-00005,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00005,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00005,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00005,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00005,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00005,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00005,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00006,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00006,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00006,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00006,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00007,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00007,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00007,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00007,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00008,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00008,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00008,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00008,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00009,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00009,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00009,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00009,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00009,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00009,HIERARCHICAL_SAME_HS6_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00010,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00010,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00010,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00010,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00010,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00010,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00010,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00011,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00011,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00011,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00011,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00011,DENSE_MISS,NORMATIVE_RETRIEVAL,D1a,TECHNICAL_DERIVED
DA-EVAL-V02-00011,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00011,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00012,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00012,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00012,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00012,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00012,HIERARCHICAL_SAME_CHAPTER_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00013,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00013,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00013,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00013,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00013,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00013,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00014,HISTORICAL_TOP1_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00014,HISTORICAL_TOP3_MISS,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
DA-EVAL-V02-00014,NORMATIVE_EARLY_RANK_MISS,NORMATIVE_RETRIEVAL,B,TECHNICAL_DERIVED
DA-EVAL-V02-00014,NORMATIVE_NOT_RECOVERED,NORMATIVE_RETRIEVAL,C,TECHNICAL_DERIVED
DA-EVAL-V02-00014,POOL_REFERENCE_MISS,NORMATIVE_RETRIEVAL,E,TECHNICAL_DERIVED
DA-EVAL-V02-00014,HIERARCHICAL_SAME_HS4_ERROR,HISTORICAL_RETRIEVAL,A,PRE_SPECIFIED
