case_id,id_unico,declaracion,serie,query,nandina_ref,partida_ref,sub_partida_ref,clase_ref,reference_code_in_corpus,reference_doc_id,rank_ref,position_bucket,coverage_class,retrieved_count,top1_code,top1_doc_id,top1_score,reciprocal_rank,method,hit_top_1,hit_top_3,hit_top_5,hit_top_10,hit_top_50,hit_recall_50,hit_recall_100,partida_at_10,partida_at_50,partida_at_100,sub_partida_at_10,sub_partida_at_50,sub_partida_at_100,clase_at_10,clase_at_50,clase_at_100
DA-EVAL-V02-00001,118-2026-10-000136-00-1,118-2026-10-000136-00,1,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55",87032410,8703,870324,87,True,NANDINA_87032410,0,>50_or_not_retrieved,present_not_recovered_top_50,38,39173210,NANDINA_39173210,21.311974833146948,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DA-EVAL-V02-00002,118-2026-10-001133-00-1,118-2026-10-001133-00,1,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",87032290,8703,870322,87,True,NANDINA_87032290,0,>50_or_not_retrieved,present_not_recovered_top_50,33,10059012,NANDINA_10059012,12.792316137155533,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DA-EVAL-V02-00003,118-2026-10-001566-00-1,118-2026-10-001566-00,1,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705",87032290,8703,870322,87,True,NANDINA_87032290,0,>50_or_not_retrieved,present_not_recovered_top_50,27,10059012,NANDINA_10059012,12.792316137155533,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DA-EVAL-V02-00004,118-2026-10-001787-00-1,118-2026-10-001787-00,1,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",87032290,8703,870322,87,True,NANDINA_87032290,0,>50_or_not_retrieved,present_not_recovered_top_50,30,38249998,NANDINA_38249998,15.927050857461925,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DA-EVAL-V02-00005,118-2026-10-004975-00-1,118-2026-10-004975-00,1,"Aro de 24 agujeros, S/M, S/M Aro de 24 agujeros HX13.00/2.5-29 (TL tire, 24 holes) Cast wheel HX13.00/2.5-29 (TL tire, 24 holes) // Cod: 4110708782 Soportar el neumático, permitir unión con el buje mediante radios Acero // Componente repuesto para maquinaria minera,Pago crédito dentro de los 540 días a",87087010,8708,870870,87,True,NANDINA_87087010,0,>50_or_not_retrieved,present_not_recovered_top_50,60,89032300,NANDINA_89032300,37.86531920715904,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
DA-EVAL-V02-00006,118-2026-10-004975-00-107,118-2026-10-004975-00,107,"Amortiguador, S/M, S/M AMORTIGUADOR DELANTERO Front absorber // Cod: 4110702313 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>50_or_not_retrieved,present_not_recovered_top_50,32,84281010,NANDINA_84281010,10.864582580275036,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA-EVAL-V02-00007,118-2026-10-004975-00-11,118-2026-10-004975-00,11,"Amortiguador, S/M, MDS110-75 Amortiguador MDS110-75 Shock absorber MDS110-75 // Cod: 4110704897 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>50_or_not_retrieved,present_not_recovered_top_50,57,72201200,NANDINA_72201200,21.775877402315867,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DA-EVAL-V02-00008,118-2026-10-004975-00-12,118-2026-10-004975-00,12,"Amortiguador, S/M, MDS110-65 Amortiguador MDS110-65 Shock absorber MDS110-65 // Cod: 4110706317 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>50_or_not_retrieved,present_not_recovered_top_50,38,84669200,NANDINA_84669200,26.994930300537685,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA-EVAL-V02-00009,118-2026-10-004975-00-123,118-2026-10-004975-00,123,"Palanca de cambios DC120, S/M, S/M Palanca de cambios DC120 Shift lever DC120 // Cod: 4110705161 Componente de palanca de cambios Plástico // Componente repuesto para maquinaria minera",87084090,8708,870840,87,True,NANDINA_87084090,0,>50_or_not_retrieved,present_not_recovered_top_50,30,85491300,NANDINA_85491300,19.774251289715778,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA-EVAL-V02-00010,118-2026-10-004975-00-125,118-2026-10-004975-00,125,"Montaje izquierdo de la caja d, S/M, S/M Montaje izquierdo de la caja de cambios Transmission LH mount wldmt // Cod: 27050121021 Sostener transmisión, absorber vibraciones, mantener alineación Acero // Componente repuesto para maquinaria minera",87084090,8708,870840,87,True,NANDINA_87084090,0,>50_or_not_retrieved,present_not_recovered_top_50,43,85182100,NANDINA_85182100,19.57237773024135,0.0,normative_bm25_flat_data_aduanas_clase87_v0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
