case_id,reference_nandina_evaluation_only,reference_rank_before,reference_rank_after,delta_position,rr_before,rr_after,delta_rr,outcome,candidate_closure_pass,parse_status,validation_status,external_codes,missing_codes,duplicate_codes
DA-EVAL-V02-00083,87089100,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00195,87032100,6,6,0,0.16666666666666666,0.16666666666666666,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00203,87032100,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00286,87032290,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00287,87032310,9,9,0,0.1111111111111111,0.1111111111111111,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00301,87082920,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00448,87089999,8,8,0,0.125,0.125,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00514,87089999,2,2,0,0.5,0.5,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00531,87089999,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00578,87032100,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00622,87089999,2,2,0,0.5,0.5,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00636,87088020,2,2,0,0.5,0.5,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00734,87089399,0,0,,0.0,0.0,0.0,NOT_EVALUABLE_REFERENCE_ABSENT,1,parsed,valid,,,
DA-EVAL-V02-00789,87083029,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00830,87087020,4,4,0,0.25,0.25,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00862,87082920,4,4,0,0.25,0.25,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00977,87032100,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-00996,87032100,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-01034,87141090,4,4,0,0.25,0.25,0.0,TIE,1,parsed,valid,,,
DA-EVAL-V02-01048,87141090,1,1,0,1.0,1.0,0.0,TIE,1,parsed,valid,,,
