component_id,config_path,config_sha256,critical_parameters,randomness,seed,seed_classification,evidence,status,gap
SPLIT_V02,src/configs/data_aduanas_split_clase87_v0.2.json,5d65dca7f2d31e5bb61ffaa6acbdac5ac57e64ebc6a1653fdf5a2e93267be3b9,DAM lists;zero overlap;T5-safe-159,yes,2026,FROZEN_SEED,versioned config,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP04_A,src/configs/experiment_config.json,UNKNOWN,BM25 historical parameters;depth;deduplication,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned run metadata,CLOSED_BY_GROUP1,environment partial
EXP04_B,src/configs/experiment_config.json,UNKNOWN,BM25 normative flat parameters;depth;deduplication,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned run metadata,CLOSED_BY_GROUP1,environment partial
EXP04_C,src/configs/experiment_config.json,UNKNOWN,hierarchical normative parameters;depth;deduplication,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned run metadata,CLOSED_WITH_DECLARED_LIMITATION,historical runner partial
EXP04_D1A,src/configs/text2trade_mnrl_v0.2.json,d5bb787f726330285b1a3d85a2b370a7c37ee055c3d8904225a3b26f18c27254,MNRL;epochs;batch;learning rate;offline CPU,yes,2026,FROZEN_SEED,training metadata and config,PARTIALLY_RESOLVED,execution HEAD unknown
EXP04_E,src/configs/normative_candidate_pools_v0.2.json,UNKNOWN,candidate depth;normative source,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned run metadata,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP04_F,src/configs/historical_normative_integration_v0.2.json,UNKNOWN,integration policy;candidate sources,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned run metadata,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP04_G,src/configs/diagnostic_llm_reranker_v0.2.json,UNKNOWN,diagnostic reranker;temperature;context,yes,0,RECORDED_SEED,metadata records sample seed;LLM seed absent,CLOSED_WITH_DECLARED_LIMITATION,PARTIAL_R5
EXP04_H,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,deterministic sample selection,yes,2026,RECORDED_SEED,HE4 selection metadata,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP04_I,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,Ollama generation;temperature;num_ctx,yes,SEED_NOT_FROZEN,SEED_NOT_FROZEN,HE4 generation manifest,CLOSED_WITH_DECLARED_LIMITATION,LLM seed absent
EXP04_J,src/configs/he4_explainer_schema_v0.2.json,UNKNOWN,schema validation,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned gate J,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP04_K,src/configs/he4_rubric_v0.2.json,UNKNOWN,rubric evaluation,unknown,UNKNOWN,SEED_NOT_RECOVERABLE,gate K evidence,CLOSED_WITH_DECLARED_LIMITATION,evaluator identity absent
EXP04_L,src/configs/he4_rubric_v0.2.json,UNKNOWN,gate aggregation,no,NOT_APPLICABLE,NOT_APPLICABLE,gate L evidence,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP05,NOT_APPLICABLE,NOT_APPLICABLE,eval SHA audit,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned gate,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP06,src/configs/diagnostic_llm_reranker_v0.2.json,UNKNOWN,diagnostic reranker audit,yes,0,RECORDED_SEED,reranker metadata,CLOSED_WITH_DECLARED_LIMITATION,PARTIAL_R5
EXP07,NOT_APPLICABLE,NOT_APPLICABLE,dev eval freeze audit,no,NOT_APPLICABLE,NOT_APPLICABLE,versioned gate,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP08,NOT_APPLICABLE,NOT_APPLICABLE,v0.1 versus v0.2 sensitivity,unknown,UNKNOWN,SEED_NOT_RECOVERABLE,original v0.1 metadata absent,CLOSED_WITH_DECLARED_LIMITATION,NOT_RECOVERABLE
EXP09,src/configs/he4_pre_explainer_v0.2.json,UNKNOWN,HE4 selection provenance,yes,2026,RECORDED_SEED,HE4 metadata,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP10,src/configs/he4_rubric_v0.2.json,UNKNOWN,HE4 gate traceability,no,NOT_APPLICABLE,NOT_APPLICABLE,HE4 gate L,CLOSED_BY_GROUP1,NOT_APPLICABLE
EXP11_A,src/configs/exp11_historical_size_sensitivity_v0.3.json,UNCOMMITTED_G2A_WORKTREE,independent complete-DAM subsets;H50 paired D1/D2 equal weight;targets;dominant structural consequences;H100 reference,yes,H25=20261001..20261010;H50-D1/H50-D2 paired=20261001..20261005;H75=20261001..20261010,FROZEN_CANDIDATE_PENDING_EXTERNAL_AUDIT,exp11_independent_condition_feasibility_v0.2.json,FROZEN_CANDIDATE_PENDING_EXTERNAL_AUDIT,F008 nested design superseded;F009 composition coupling;F010 H50 stratum imbalance corrected prospectively
EXP12,src/configs/exp12_historical_diversity_control_v0.3.json,UNCOMMITTED_G2A_WORKTREE,complete DAM HHI quantiles;H100 label TVD matching;future manipulation check,yes,20262001..20262010,FROZEN_CANDIDATE_SEED_PENDING_EXTERNAL_AUDIT,synthetic contract tests only,CONDITIONAL_FROZEN_PENDING_NEW_HISTORICAL_GATE,F007 blocks all EXP12 execution; future HHI manipulation-strength review required
G2A_1E_FREEZE,docs/g2a_contract_exp11_exp12_v0.1.md,UNCOMMITTED_G2A_WORKTREE,normalized F001-F010 taxonomy;candidate gate;external governance hashes,no,NOT_APPLICABLE,NOT_APPLICABLE,g2a findings and candidate gate,PENDING_EXTERNAL_FINAL_AUDIT,nonblocking historical limitations explicit; no execution authorization
