case_id,selection_rank,selection_rule,seed,population,sample_size,candidate_pool_sha256,candidate_count
DA-EVAL-V02-00083,1,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00195,2,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00203,3,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00286,4,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00287,5,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00301,6,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00448,7,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00514,8,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00531,9,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00578,10,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00622,11,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00636,12,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00734,13,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00789,14,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00830,15,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00862,16,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00977,17,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-00996,18,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-01034,19,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
DA-EVAL-V02-01048,20,uniform_random_sample_without_replacement_over_sorted_case_ids_with_at_least_10_closed_candidates,0,1056,20,66322c89c91b5106f275a976e6b59e1de25ab194fe32c4dc670ebd69f5e350c9,100
