case_id,split,id_unico,DECLARACION,SERIE,Clase,Partida,Sub Partida,NANDINA,NANDINA ORIGINAL,DESCRIPCION DE PARTIDA ARANCELARIA,DESCRIPCION DE MERCANCIAS 1,DESCRIPCION DE MERCANCIAS 2,DESCRIPCION DE MERCANCIAS 3,DESCRIPCION DE MERCANCIAS 4,DESCRIPCION DE MERCANCIAS 5,DESCRIPCION DE MERCANCIAS CONCATENADA,FECHA NUMERACION,SUJETO A,1.1. ADUANA,1.2.- DECLARANTE,1.3. IMPORTADOR,1.5.- DIRECCION,3.1. AD/VALOREM - CANTIDAD A PAGAR $,3.1. AD/VALOREM - LIBERACION $,3.1. AD/VALOREM - LIQUIDACION $,3.1. MONEDA,3.11 TOTAL LIQUIDACION - CANTIDAD A PAGAR $,3.2. DERECHO ESPECIFICO - CANTIDAD A PAGAR $,3.2. DERECHO ESPECIFICO - LIBERACION $,3.2. DERECHO ESPECIFICO - LIQUIDACION $,3.2.- FEC.CARTA CRED,3.2.- FORMA DE PAGO,3.3. IMP. SELECTIVO CONSUMO - CANTIDAD A PAGAR $,3.3. IMP. SELECTIVO CONSUMO - LIBERACION $,3.3. IMP. SELECTIVO CONSUMO - LIQUIDACION $,3.3. PLAZO,3.4. ENT.FINANC.,3.4. IMP. PROMOCION MUNICIPAL - CANTIDAD A PAGAR $,3.4. IMP. PROMOCION MUNICIPAL - LIBERACION $,3.4. IMP. PROMOCION MUNICIPAL - LIQUIDACION $,3.5. IMP. GENERAL A LA VENTA - CANTIDAD A PAGAR $,3.5. IMP. GENERAL A LA VENTA - LIBERACION $,3.5. IMP. GENERAL A LA VENTA - LIQUIDACION $,3.6. DERECHO ANTIDUMPING - CANTIDAD A PAGAR $,3.6. DERECHO ANTIDUMPING - LIBERACION $,3.6. DERECHO ANTIDUMPING - LIQUIDACION $,3.7. TASA SERVICIO DESPACHO - CANTIDAD A PAGAR $,3.7. TASA SERVICIO DESPACHO - LIBERACION $,3.7. TASA SERVICIO DESPACHO - LIQUIDACION $,3.8. RECARGO NUMERACION - CANTIDAD A PAGAR $,3.8. RECARGO NUMERACION - LIBERACION $,3.8. RECARGO NUMERACION - LIQUIDACION $,3.9. SOBRETASA ADICIONAL - CANTIDAD A PAGAR $,3.9. SOBRETASA ADICIONAL - LIBERACION $,3.9. SOBRETASA ADICIONAL - LIQUIDACION $,4.1. MANIFIESTO,4.2 MODO,4.3. EMPRESA,4.4. FEC.LLEGADA,5.1. TERMINAL,5.10 RES.EXO.NUM.,5.12 TOTAL SERIES,5.13 TIPO TRATAMIENTO,5.5. TOTAL PESO NETO (KG),5.6. TOTAL PESO BRUTO(KG),5.7. TOTAL CANTIDAD BULTOS,5.8. TOTAL UNIDADES FISICAS,5.9. UNIDADES COMERCIALES,6.1. FOB - MONEDA TRANSACCION,6.1. FOB - TOTAL DOLARES (US$),6.2. FLETE - TOTAL DOLARES (US$),6.4. SEGURO - TOTAL DOLARES (US$),6.5. CIF - TOTAL DOLARES (US$),ADV $,BANCO DE CANCELACION,CANT. BULTOS,CLASE,COD. LIBER.,DECL.PREC.,ESTADO,FEC.EMB.,FECHA CANCELACION,FLETE,FOB US $,GUIA AEREA O B/L,IGV $,IPM $,ISC $,MONEDA TRANSC.,NABANDINA,PAIS ADQUISICION,PAIS ORIGEN,PESO BRUTO (KG),PESO NETO (KG),PUERTO EMBARQUE,SEGURO,TIPO U.C.,TRATO PREF. NAC.,TRATO PREF.INT.,ULTIMO DIA DE PAGO,UNIDADES COMERCIALES,UNIDADES FISICAS U.F.,__record_id,__dam_index,__series_index,__source_file,__sheet_name,__dam_row_start,__dam_row_end,__detail_table_index,__series_row_start,__series_row_end,__parse_warnings
DA-DEV-V02-00001,desarrollo,118-2026-10-000960-00-1,118-2026-10-000960-00,1,87,8703,870322,87032290,87.03.22.90.20,- - - - Los demás ensamblados,M1 MULTIPROPOSITO TOYOTA AVANZA 1.5 MT AÑO 2026 W101LE-LMGFX,"C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:15/6, N1:185/65R15, DE:2750","NC:4, CC:1496, CH:MHFAB1BY0T3172401, VI:MHFAB1BY0T3172401, MO:2NRY570030","AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:78@6000","ACD, LET, BSA, DAS, EEL, PEL, KLM:35, LA:4395, AN:1730, AL:1665","M1 MULTIPROPOSITO TOYOTA AVANZA 1.5 MT AÑO 2026 W101LE-LMGFX C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:15/6, N1:185/65R15, DE:2750 NC:4, CC:1496, CH:MHFAB1BY0T3172401, VI:MHFAB1BY0T3172401, MO:2NRY570030 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:78@6000 ACD, LET, BSA, DAS, EEL, PEL, KLM:35, LA:4395, AN:1730, AL:1665",2026-01-02,DOCUMENTARIO,MARITIMA DEL CALLAO 118,TLI ADUANAS S.A.C. 4920,4-20100132592 TOYOTA DEL PERU S A,"AV. SANTO TORIBIO NRO. 173 INT. PI14 (VIA CENTRAL 125, TORRE REAL 8 OF.1401-02) LIMA - LIMA - SAN ISIDRO",654,0,654,00:00:00,3758,0,0,0,,1:PAGO AL CONTADO,867,0,867,0,099:OTROS,249,0,249,1988,0,1988,0,0,0,0,0,0,0,0,0,0,0,0,2025-3367,0,,2026-01-10,,0-,1,NORMAL 1,1115,1115,1,1,1,0,9236.86,1663.27,3.87,10904,654.24,009BCO.SCOTIABANK PERU SAA (ANTES WIESE SUDAMERIS),1,VEI,0-,- - -,10,2025-11-21,2026-01-07,1663.27,9236.86,KKLUJKT449679,1988.02,248.5,866.87,9236.86,0,SG-SINGAPORE,ID-INDONESIA,1115,1115,"IDJKT-JAKARTA, JAVA",3.87,U,0-,0-,2999-12-31,1,1.00 U,118-2026-10-000960-00-1,21,1,data\Series - Descripciones.xlsx,Hoja2,6075,6130,1,6118,6130,
DA-DEV-V02-00002,desarrollo,118-2026-10-002384-00-1,118-2026-10-002384-00,1,87,8703,870322,87032290,87.03.22.90.20,- - - - Los demás ensamblados,"M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025","CH:LVZA53P98SCB92904,VI:LVZA53P98SCB92904,MO:SFG15T22031567,CC:1498,NC:4,CO:GASOLINA,SNTT:","CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:AZUL","PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780","TE:CHI,SAC","M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025 CH:LVZA53P98SCB92904,VI:LVZA53P98SCB92904,MO:SFG15T22031567,CC:1498,NC:4,CO:GASOLINA,SNTT: CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:AZUL PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780 TE:CHI,SAC",2026-01-02,DOCUMENTARIO,MARITIMA DEL CALLAO 118,ALEFERO OPERADOR INTERNACIONAL S.A.C. 6540,4-20482138714 EMPRESA DE TRANSPORTES ZD S.A.C.,AV. AMERICA NORTE NRO. 166 URB. DANIEL HOYLE LA LIBERTAD - TRUJILLO - TRUJILLO,0,1722,1722,00:00:00,7762,0,0,0,,1:PAGO AL CONTADO,2152,129,2281,0,002:BANCO DE CREDITO DEL PERU,623,37,660,4987,296,5283,0,0,0,0,0,0,0,0,0,0,0,0,2025-2877,0,3453,2026-01-08,DINET S.A. 5142,0-,5,NORMAL 1,4530,4760,3,9,9,0,27018.6,1985,11.75,29015.35,0,002BANCO DE CREDITO DEL PERU,1,BUL,0-,- - -,10,2025-12-03,2026-01-03,661.22,8900,EGLV142503575634,1645.2,205.65,717.38,8900,0,CN-CHINA,CN-CHINA,1585.61,1509,CNSHA-SHANGHAI,3.87,U,0-,805-,2999-12-31,1,1.00 U,118-2026-10-002384-00-1,19,1,data\Series - Descripciones.xlsx,Hoja2,5903,6006,1,5946,5957,
DA-DEV-V02-00003,desarrollo,118-2026-10-002384-00-2,118-2026-10-002384-00,2,87,8703,870322,87032290,87.03.22.90.20,- - - - Los demás ensamblados,"M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025","CH:LVZA53P96SCB92903,VI:LVZA53P96SCB92903,MO:SFG15T22031588,CC:1498,NC:4,CO:GASOLINA,SNTT:","CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:AZUL","PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780","TE:CHI,SAC","M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025 CH:LVZA53P96SCB92903,VI:LVZA53P96SCB92903,MO:SFG15T22031588,CC:1498,NC:4,CO:GASOLINA,SNTT: CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:AZUL PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780 TE:CHI,SAC",2026-01-02,DOCUMENTARIO,MARITIMA DEL CALLAO 118,ALEFERO OPERADOR INTERNACIONAL S.A.C. 6540,4-20482138714 EMPRESA DE TRANSPORTES ZD S.A.C.,AV. AMERICA NORTE NRO. 166 URB. DANIEL HOYLE LA LIBERTAD - TRUJILLO - TRUJILLO,0,1722,1722,00:00:00,7762,0,0,0,,1:PAGO AL CONTADO,2152,129,2281,0,002:BANCO DE CREDITO DEL PERU,623,37,660,4987,296,5283,0,0,0,0,0,0,0,0,0,0,0,0,2025-2877,0,3453,2026-01-08,DINET S.A. 5142,0-,5,NORMAL 1,4530,4760,3,9,9,0,27018.6,1985,11.75,29015.35,0,002BANCO DE CREDITO DEL PERU,1,BUL,0-,- - -,10,2025-12-03,2026-01-03,661.22,8900,EGLV142503575634,1645.2,205.65,717.38,8900,0,CN-CHINA,CN-CHINA,1585.61,1509,CNSHA-SHANGHAI,3.87,U,0-,805-,2999-12-31,1,1.00 U,118-2026-10-002384-00-2,19,2,data\Series - Descripciones.xlsx,Hoja2,5903,6006,1,5958,5969,
DA-DEV-V02-00004,desarrollo,118-2026-10-002384-00-3,118-2026-10-002384-00,3,87,8703,870322,87032290,87.03.22.90.20,- - - - Los demás ensamblados,"M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025","CH:LVZA53P9XSCB92905,VI:LVZA53P9XSCB92905,MO:SFG15T22031554,CC:1498,NC:4,CO:GASOLINA,SNTT:","CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:ROJO","PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780","TE:CHI,SAC","M1,MARCA:DFSK,MODELO:FENGON 580 MC,VE:580,AÑO MOD:2025 CH:LVZA53P9XSCB92905,VI:LVZA53P9XSCB92905,MO:SFG15T22031554,CC:1498,NC:4,CO:GASOLINA,SNTT: CA:SUV,MC:DFSK,PM:110.00@5600,AS:5,EJ:2,PA:4,FR:4X2,TT:MEC,C1:ROJO PB:1965,PN:1545,CU:420,LA:4680,AN:1850,AL:1715,NR:4,AR1:17/7,N1:225/60R17,DE:2780 TE:CHI,SAC",2026-01-02,DOCUMENTARIO,MARITIMA DEL CALLAO 118,ALEFERO OPERADOR INTERNACIONAL S.A.C. 6540,4-20482138714 EMPRESA DE TRANSPORTES ZD S.A.C.,AV. AMERICA NORTE NRO. 166 URB. DANIEL HOYLE LA LIBERTAD - TRUJILLO - TRUJILLO,0,1722,1722,00:00:00,7762,0,0,0,,1:PAGO AL CONTADO,2152,129,2281,0,002:BANCO DE CREDITO DEL PERU,623,37,660,4987,296,5283,0,0,0,0,0,0,0,0,0,0,0,0,2025-2877,0,3453,2026-01-08,DINET S.A. 5142,0-,5,NORMAL 1,4530,4760,3,9,9,0,27018.6,1985,11.75,29015.35,0,002BANCO DE CREDITO DEL PERU,1,BUL,0-,- - -,10,2025-12-03,2026-01-03,661.22,8900,EGLV142503575634,1645.2,205.65,717.38,8900,0,CN-CHINA,CN-CHINA,1585.61,1509,CNSHA-SHANGHAI,3.87,U,0-,805-,2999-12-31,1,1.00 U,118-2026-10-002384-00-3,19,3,data\Series - Descripciones.xlsx,Hoja2,5903,6006,1,5970,5981,
DA-DEV-V02-00005,desarrollo,118-2026-10-003519-00-1,118-2026-10-003519-00,1,87,8703,870323,87032390,87.03.23.90.20,- - - - Los demás ensamblados,"M1,MARCA:DONGFENG,MODELO:SX6,VE:LZ6472XQ16AM,AÑO MOD:2026","CH:LGG8E2D17TZ354703,VI:LGG8E2D17TZ354703,MO:4A92S4CY777,CC:1590,NC:4,CO:BI-GNV,SNTT:0","CA:SUV,PM:90.00@6000,AS:8,EJ:2,PA:7,FR:4X2,TT:MEC,C1:NEGRO","PB:2090,PN:1480,CU:610,LA:4660,AN:1810,AL:1790,NR:4,AR1:17/2,N1:215/55R17,DE:2750","TE:CHI,AC:ACD,ARA,CUE,BSA,CRT,EAV,LET,PEL,KILOMETRAJE:60.00, SX6 233, PAGO 15% N450422001","M1,MARCA:DONGFENG,MODELO:SX6,VE:LZ6472XQ16AM,AÑO MOD:2026 CH:LGG8E2D17TZ354703,VI:LGG8E2D17TZ354703,MO:4A92S4CY777,CC:1590,NC:4,CO:BI-GNV,SNTT:0 CA:SUV,PM:90.00@6000,AS:8,EJ:2,PA:7,FR:4X2,TT:MEC,C1:NEGRO PB:2090,PN:1480,CU:610,LA:4660,AN:1810,AL:1790,NR:4,AR1:17/2,N1:215/55R17,DE:2750 TE:CHI,AC:ACD,ARA,CUE,BSA,CRT,EAV,LET,PEL,KILOMETRAJE:60.00, SX6 233, PAGO 15% N450422001",2026-01-03,DOCUMENTARIO,MARITIMA DEL CALLAO 118,AGENCIA DE ADUANA VILCAPOMA HERMANOS SOCIEDAD COMERCIAL 4975,4-20611399856 HC STORE S.A.C.,AV. MARISCAL OSCAR R. BENAVID NRO. 5247 PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CALLAO,0,501,501,00:00:00,1504,0,0,0,,2:PAGO A CREDITO,0,0,0,0,099:OTROS,167,10,177,1337,80,1417,0,0,0,0,0,0,0,0,0,0,0,0,2025-3092,0,7770,2025-12-14,VARI ALMACENES S.A.C. 2132,0-,1,NORMAL 1,1450,1450,1,1,1,0,7611.57,733.59,10.28,8355.44,0,002BANCO DE CREDITO DEL PERU,1,VEI,0-,- - -,10,2025-11-15,2026-01-03,733.59,7611.57,MEDUOZ282619,1336.87,167.11,0,7611.57,0,CN-CHINA,CN-CHINA,1450,1450,CNSHA-SHANGHAI,10.28,U,0-,805-,2026-01-03,1,1.00 U,118-2026-10-003519-00-1,33,1,data\Series - Descripciones.xlsx,Hoja2,6747,6802,1,6790,6802,
DA-DEV-V02-00006,desarrollo,118-2026-10-003526-00-1,118-2026-10-003526-00,1,87,8703,870323,87032390,87.03.23.90.20,- - - - Los demás ensamblados,"M1,MARCA:DONGFENG,MODELO:SX6,VE:LZ6472XQ16AM,AÑO MOD:2026","CH:LGG8E2D10TZ354705,VI:LGG8E2D10TZ354705,MO:4A92S4CY776,CC:1590,NC:4,CO:BI-GNV,SNTT:0","CA:SUV,PM:90.00@6000,AS:8,EJ:2,PA:7,FR:4X2,TT:MEC,C1:NEGRO","PB:2090,PN:1480,CU:610,LA:4660,AN:1810,AL:1790,NR:4,AR1:17/2,N1:215/55R17,DE:2750","TE:CHI,AC:ACD,ARA,CUE,BSA,CRT,EAV,LET,PEL,KILOMETRAJE:60.00, SX6 233, PAGO 15% N450422001","M1,MARCA:DONGFENG,MODELO:SX6,VE:LZ6472XQ16AM,AÑO MOD:2026 CH:LGG8E2D10TZ354705,VI:LGG8E2D10TZ354705,MO:4A92S4CY776,CC:1590,NC:4,CO:BI-GNV,SNTT:0 CA:SUV,PM:90.00@6000,AS:8,EJ:2,PA:7,FR:4X2,TT:MEC,C1:NEGRO PB:2090,PN:1480,CU:610,LA:4660,AN:1810,AL:1790,NR:4,AR1:17/2,N1:215/55R17,DE:2750 TE:CHI,AC:ACD,ARA,CUE,BSA,CRT,EAV,LET,PEL,KILOMETRAJE:60.00, SX6 233, PAGO 15% N450422001",2026-01-03,DOCUMENTARIO,MARITIMA DEL CALLAO 118,AGENCIA DE ADUANA VILCAPOMA HERMANOS SOCIEDAD COMERCIAL 4975,4-20611399856 HC STORE S.A.C.,AV. MARISCAL OSCAR R. BENAVID NRO. 5247 PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CALLAO,0,501,501,00:00:00,1504,0,0,0,,2:PAGO A CREDITO,0,0,0,0,099:OTROS,167,10,177,1337,80,1417,0,0,0,0,0,0,0,0,0,0,0,0,2025-3092,0,7770,2025-12-14,VARI ALMACENES S.A.C. 2132,0-,1,NORMAL 1,1450,1450,1,1,1,0,7611.57,733.59,10.28,8355.44,0,002BANCO DE CREDITO DEL PERU,1,VEI,0-,- - -,10,2025-11-15,2026-01-03,733.59,7611.57,MEDUOZ282619,1336.87,167.11,0,7611.57,0,CN-CHINA,CN-CHINA,1450,1450,CNSHA-SHANGHAI,10.28,U,0-,805-,2026-01-03,1,1.00 U,118-2026-10-003526-00-1,34,1,data\Series - Descripciones.xlsx,Hoja2,6803,6858,1,6846,6858,
DA-DEV-V02-00007,desarrollo,118-2026-10-013935-00-1,118-2026-10-013935-00,1,87,8703,870321,87032100,87.03.21.00.10,"VEHICULO AUTOMOVIL GASOLINERO ENSAMBLADOS, CILINDRADA <=1000","L7,CFMOTO,CF600AU-3L VE:600 EPS,2025","CA:CUATRIMOTO,C1:NEGRO,CO:GASOLINA,SN:0","NC:1,CC:580,CH/VIN:LCELDUZ96S6004600,MO:LCELDUZ96S6004600","AS:2,FR:4X4,TT:CVT,PA:0,PM: 42.00@ 13.00,PB:640,PN:210,CU:430","SAC,KM:0.00,TE:ENCENDIDO POR CHISPA LA:2820,AN:1470,AL:1950, NR:4,MC:CFMOTO,SC:S6004600","L7,CFMOTO,CF600AU-3L VE:600 EPS,2025 CA:CUATRIMOTO,C1:NEGRO,CO:GASOLINA,SN:0 NC:1,CC:580,CH/VIN:LCELDUZ96S6004600,MO:LCELDUZ96S6004600 AS:2,FR:4X4,TT:CVT,PA:0,PM: 42.00@ 13.00,PB:640,PN:210,CU:430 SAC,KM:0.00,TE:ENCENDIDO POR CHISPA LA:2820,AN:1470,AL:1950, NR:4,MC:CFMOTO,SC:S6004600",2026-01-09,DOCUMENTARIO,MARITIMA DEL CALLAO 118,BLOG ADUANAS S.A.C. 5794,No Disponible - Ley 29733 No Disponible - Ley 29733,No Disponible - Ley 29733,829,0,829,00:00:00,7506,0,0,0,,2:PAGO A CREDITO,732,0,732,30,099:OTROS,661,0,661,5284,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,2025-3350,0,7770,2026-01-11,UNIMAR S A 3067,0-,3,NORMAL 1,1700,1700,15,3,3,0,26392.27,4985,87.86,31465.13,828.62,002BANCO DE CREDITO DEL PERU,1,VEI,0-,- - -,10,2025-12-21,2026-01-13,2187.96,11583.8,YMJAL135544584,2459.34,307.42,731.95,11583.8,0,US-UNITED STATES,US-UNITED STATES,272.53,272.53,USLAX-LOS ANGELES,38.56,U,0-,0-,2999-12-31,1,1.00 U,118-2026-10-013935-00-1,3,1,data\Series - Descripciones.xlsx,Hoja2,918,996,1,961,972,
DA-DEV-V02-00008,desarrollo,118-2026-10-013935-00-2,118-2026-10-013935-00,2,87,8716,871639,87163900,87.16.39.00.00,DEMAS REMOLQUES Y SEMIREMOLQUES PARA TRANSP.DE MRCIAS.,"O1,MICROSPORT TRAILER,MPG460G VE:MPG460G,2023","CA:REMOLCADOR,C1:PLATA,SN:0","CH/VIN:4KF611414PG001849,","EJ:2,PA:0,PB:540,PN:130,CU:410","SAC,KM:0.00 LA:159,AN:78,AL:55,SD:2,SP:2 NR:2,DE:150,SC:PG001849 MD:45, 82,E1:20,E2:20,","O1,MICROSPORT TRAILER,MPG460G VE:MPG460G,2023 CA:REMOLCADOR,C1:PLATA,SN:0 CH/VIN:4KF611414PG001849, EJ:2,PA:0,PB:540,PN:130,CU:410 SAC,KM:0.00 LA:159,AN:78,AL:55,SD:2,SP:2 NR:2,DE:150,SC:PG001849 MD:45, 82,E1:20,E2:20,",2026-01-09,DOCUMENTARIO,MARITIMA DEL CALLAO 118,BLOG ADUANAS S.A.C. 5794,No Disponible - Ley 29733 No Disponible - Ley 29733,No Disponible - Ley 29733,829,0,829,00:00:00,7506,0,0,0,,2:PAGO A CREDITO,732,0,732,30,099:OTROS,661,0,661,5284,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,2025-3350,0,7770,2026-01-11,UNIMAR S A 3067,0-,3,NORMAL 1,1700,1700,15,3,3,0,26392.27,4985,87.86,31465.13,0,002BANCO DE CREDITO DEL PERU,1,VEI,0-,- - -,20,2025-12-21,2026-01-13,1398.52,7404.23,YMJAL135544584,1412.38,176.55,0,7404.23,0,US-UNITED STATES,US-UNITED STATES,427.46,427.46,USLAX-LOS ANGELES,24.64,U,0-,0-,2999-12-31,1,1.00 U,118-2026-10-013935-00-2,3,2,data\Series - Descripciones.xlsx,Hoja2,918,996,1,973,984,
DA-DEV-V02-00009,desarrollo,118-2026-10-013935-00-3,118-2026-10-013935-00,3,87,8708,870899,87089999,87.08.99.99.00,- - - - Los demas,"ACCESORIOS PARA VEHICULO,S/M,S/M,",VEHICLE AND TRAILER SPARE PARTS,EN UNIDADES,PARA VEHICULO Y REMOLCADOR,,"ACCESORIOS PARA VEHICULO,S/M,S/M, VEHICLE AND TRAILER SPARE PARTS EN UNIDADES PARA VEHICULO Y REMOLCADOR",2026-01-09,DOCUMENTARIO,MARITIMA DEL CALLAO 118,BLOG ADUANAS S.A.C. 5794,No Disponible - Ley 29733 No Disponible - Ley 29733,No Disponible - Ley 29733,829,0,829,00:00:00,7506,0,0,0,,2:PAGO A CREDITO,732,0,732,30,099:OTROS,661,0,661,5284,0,5284,0,0,0,0,0,0,0,0,0,0,0,0,2025-3350,0,7770,2026-01-11,UNIMAR S A 3067,0-,3,NORMAL 1,1700,1700,15,3,3,0,26392.27,4985,87.86,31465.13,0,002BANCO DE CREDITO DEL PERU,13,BUL,0-,- - -,10,2025-12-21,2026-01-13,1398.52,7404.23,YMJAL135544584,1412.38,176.55,0,7404.23,0,US-UNITED STATES,US-UNITED STATES,1000,1000,USLAX-LOS ANGELES,24.64,U,0-,0-,2999-12-31,1,1.00 U,118-2026-10-013935-00-3,3,3,data\Series - Descripciones.xlsx,Hoja2,918,996,1,985,996,
DA-DEV-V02-00010,desarrollo,118-2026-10-050656-00-1,118-2026-10-050656-00,1,87,8714,871410,87141090,87.14.10.90.00,- - Los demás,"TIMON PARA CROSS MODELO RTL TW, SEACUBE, TWINWALL",TIMON PARA CROSS MODELO RTL TWINWALL MORADO,TIMON PARA CROSS MODELO RTL TWINWALL MORADO,REPUESTO DE MOTOCICLETA / TRIMOTO,PAGO A CREDITO 60 DIAS DESPUES DE PUERTO,"TIMON PARA CROSS MODELO RTL TW, SEACUBE, TWINWALL TIMON PARA CROSS MODELO RTL TWINWALL MORADO TIMON PARA CROSS MODELO RTL TWINWALL MORADO REPUESTO DE MOTOCICLETA / TRIMOTO PAGO A CREDITO 60 DIAS DESPUES DE PUERTO",2026-01-31,DOCUMENTARIO,MARITIMA DEL CALLAO 118,AUSTRAL LOGISTIC S.A.C. 9295,4-20394082792 MEGA IMPORT ARVI MOTOR'S E.I.R.L.,OTR. JJ.VV.PAMPA YURAC (AL COSTADO DEL GRIFO ACOSTA) UCAYALI - PADRE ABAD - PADRE ABAD,1858,0,1858,00:00:00,16740,0,0,0,2026-01-30,2:PAGO A CREDITO,60,0,60,60,099:OTROS,1647,172,1819,13175,1374,14549,0,0,0,0,0,0,0,0,0,0,0,0,2026-92,0,SKY AIRLINE PERU S.A.C.5009,2026-01-31,VILLAS OQUENDO S.A. 4133,0-,167,NORMAL 1,27227,28480,993,158244.86,379092,0,86254.13,2490,267,89011.13,0,011BANCO CONTINENTAL,993,BUL,0-,- - -,10,2025-12-27,2026-02-18,11.13,385.8,ANDES25120036,63.7,7.96,0,385.8,0,CN-CHINA,CN-CHINA,127.38,121.78,CNNGB-NINGBO,1.19,U,0-,0-,2999-12-31,20,20.00 U,118-2026-10-050656-00-1,38,1,data\Series - Descripciones.xlsx,Hoja2,7037,8938,1,7080,7091,
