case_id,id_unico,declaracion,serie,query,nandina_ref,partida_ref,sub_partida_ref,clase_ref,reference_code_in_corpus,reference_doc_id,rank_ref,position_bucket,coverage_class,retrieved_count,raw_retrieved_count,raw_repeated_code_count,effective_ranking_has_repeated_codes,top1_code,top1_doc_id,top1_score,reciprocal_rank,method,flag_missing_parent_4d,flag_missing_parent_hs6,flag_missing_both_parents,flag_duplicate_code_documents,flag_generic_or_short_leaf_description,hit_top_1,hit_top_3,hit_top_5,hit_top_10,hit_top_50,hit_recall_50,hit_recall_100,hit_recall_200,exact_at_10,hs6_at_10,hs4_at_10,chapter_at_10,exact_at_50,hs6_at_50,hs4_at_50,chapter_at_50,exact_at_100,hs6_at_100,hs4_at_100,chapter_at_100,exact_at_200,hs6_at_200,hs4_at_200,chapter_at_200,hierarchical_evidence_class_at_100,hierarchical_evidence_class_at_200
DA-EVAL-V02-00001,118-2026-10-000136-00-1,118-2026-10-000136-00,1,"M1,NISSAN,MURANO VE:SL,2024 CA:SUV,C1:AZUL,CO:GASOLINA,SN:0 NC:6,CC:3500,CH/VIN:5N1AZ2CJ3RC101423,MO:VQ35754666W AS:5,FR:4X2,TT:AUT,PA:4,PM: 191.00@6000.00,PB:2318,PN:1770,CU:548 BSA,LET, ,KM:24597.00,TE:ENCENDIDO POR CHISPA LA:4850,AN:1850,AL:1720, NR:4,AR:55/20, 55",87032410,8703,870324,87,True,NANDINA_87032410,0,>200_or_not_retrieved,present_not_recovered_top_200,200,1027,1,0,48051900,NANDINA_48051900,37.48642321288124,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,chapter_only,chapter_only
DA-EVAL-V02-00002,118-2026-10-001133-00-1,118-2026-10-001133-00,1,"M1 SUV TOYOTA RAIZE 1.2 MID MT AÑO 2026 A251LA-GMXF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA7TJ144093, VI:MHKAB1BA7TJ144093, MO:WAA210259 AS:5, EJ:2, FR:4X2, TT:MEC, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",87032290,8703,870322,87,True,NANDINA_87032290,0,>200_or_not_retrieved,present_not_recovered_top_200,200,2433,0,0,29314600,NANDINA_29314600,40.96609808984417,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,chapter_only,chapter_only
DA-EVAL-V02-00003,118-2026-10-001566-00-1,118-2026-10-001566-00,1,"M1 SUV TOYOTA RUSH 1.5 FULL MT AÑO 2026 F800LE-GMMF C1:BLANCO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:215/65R16, DE:2685 NC:4, CC:1496, CH:MHKE8FE20TK033122, VI:MHKE8FE20TK033122, MO:2NR4E96988 AS:7, EJ:2, FR:4X2, TT:MEC, PA:6, PM:76@6000 ACD, LET, ARA, CLM, BSA, DAS, EEL, PEL, KLM:35, LA:4435, AN:1695, AL:1705",87032290,8703,870322,87,True,NANDINA_87032290,0,>200_or_not_retrieved,present_not_recovered_top_200,200,2473,0,0,29314600,NANDINA_29314600,38.61397964166944,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,chapter_only,chapter_only
DA-EVAL-V02-00004,118-2026-10-001787-00-1,118-2026-10-001787-00,1,"M1 SUV TOYOTA RAIZE 1.2 MID CVT AÑO 2026 A251LA-GBXF C1:GRIS OSCURO METALICO, CO:GASOLINA, SN:0, NR:4, AR:16/7, N1:205/65R16, DE:2525 NC:3, CC:1198, CH:MHKAB1BA5TJ144576, VI:MHKAB1BA5TJ144576, MO:WAA210899 AS:5, EJ:2, FR:4X2, TT:CVT, PA:4, PM:65@6000 ACD, LET, ARA, BSA, CRT, DAS, EAV, EEL, PEL, KLM:35, LA:4030, AN:1710, AL:1605",87032290,8703,870322,87,True,NANDINA_87032290,0,>200_or_not_retrieved,present_not_recovered_top_200,200,2434,0,0,29314600,NANDINA_29314600,40.96609808984417,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,chapter_only,chapter_only
DA-EVAL-V02-00005,118-2026-10-004975-00-1,118-2026-10-004975-00,1,"Aro de 24 agujeros, S/M, S/M Aro de 24 agujeros HX13.00/2.5-29 (TL tire, 24 holes) Cast wheel HX13.00/2.5-29 (TL tire, 24 holes) // Cod: 4110708782 Soportar el neumático, permitir unión con el buje mediante radios Acero // Componente repuesto para maquinaria minera,Pago crédito dentro de los 540 días a",87087010,8708,870870,87,True,NANDINA_87087010,0,>200_or_not_retrieved,present_not_recovered_top_200,200,1814,1,0,89032200,NANDINA_89032200,58.523065093583824,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,no_hierarchical_evidence,chapter_only
DA-EVAL-V02-00006,118-2026-10-004975-00-107,118-2026-10-004975-00,107,"Amortiguador, S/M, S/M AMORTIGUADOR DELANTERO Front absorber // Cod: 4110702313 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>200_or_not_retrieved,present_not_recovered_top_200,200,501,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_hierarchical_evidence,no_hierarchical_evidence
DA-EVAL-V02-00007,118-2026-10-004975-00-11,118-2026-10-004975-00,11,"Amortiguador, S/M, MDS110-75 Amortiguador MDS110-75 Shock absorber MDS110-75 // Cod: 4110704897 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>200_or_not_retrieved,present_not_recovered_top_200,200,545,0,0,72193100,NANDINA_72193100,26.551149715134272,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,chapter_only,chapter_only
DA-EVAL-V02-00008,118-2026-10-004975-00-12,118-2026-10-004975-00,12,"Amortiguador, S/M, MDS110-65 Amortiguador MDS110-65 Shock absorber MDS110-65 // Cod: 4110706317 Permite mantener la estabilidad de cabina Acero // Componente repuesto para maquinaria minera",87088020,8708,870880,87,True,NANDINA_87088020,0,>200_or_not_retrieved,present_not_recovered_top_200,200,518,0,0,72223010,NANDINA_72223010,31.05628926191828,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_hierarchical_evidence,no_hierarchical_evidence
DA-EVAL-V02-00009,118-2026-10-004975-00-123,118-2026-10-004975-00,123,"Palanca de cambios DC120, S/M, S/M Palanca de cambios DC120 Shift lever DC120 // Cod: 4110705161 Componente de palanca de cambios Plástico // Componente repuesto para maquinaria minera",87084090,8708,870840,87,True,NANDINA_87084090,0,>200_or_not_retrieved,present_not_recovered_top_200,200,551,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_hierarchical_evidence,no_hierarchical_evidence
DA-EVAL-V02-00010,118-2026-10-004975-00-125,118-2026-10-004975-00,125,"Montaje izquierdo de la caja d, S/M, S/M Montaje izquierdo de la caja de cambios Transmission LH mount wldmt // Cod: 27050121021 Sostener transmisión, absorber vibraciones, mantener alineación Acero // Componente repuesto para maquinaria minera",87084090,8708,870840,87,True,NANDINA_87084090,0,>200_or_not_retrieved,present_not_recovered_top_200,200,613,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_hierarchical_evidence,no_hierarchical_evidence
DA-EVAL-V02-00011,118-2026-10-004975-00-129,118-2026-10-004975-00,129,"Montaje derecho de la caja de, S/M, S/M Montaje derecho de la caja de cambios Transmission RH mount wldmt // Cod: 27050120981 Sostener transmisión, absorber vibraciones, mantener alineación Acero // Componente repuesto para maquinaria minera",87084090,8708,870840,87,True,NANDINA_87084090,0,>200_or_not_retrieved,present_not_recovered_top_200,200,564,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,no_hierarchical_evidence,hs4_recovered_without_hs6_or_exact
DA-EVAL-V02-00012,118-2026-10-004975-00-130,118-2026-10-004975-00,130,"Conjunto de motor de accionami, S/M, S/M Conjunto de motor de accionamiento L15 Drive motor assy L15 // Cod: 4110707021 Componente de motor Acero // Componente repuesto para maquinaria minera",87089999,8708,870899,87,True,NANDINA_87089999,0,>200_or_not_retrieved,present_not_recovered_top_200,200,601,0,0,84462100,NANDINA_84462100,30.31589148429459,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,hs4_recovered_without_hs6_or_exact,hs4_recovered_without_hs6_or_exact
DA-EVAL-V02-00013,118-2026-10-004975-00-137,118-2026-10-004975-00,137,"Brazo de dirección, S/M, S/M Brazo de dirección Steering arm // Cod: 27060106931 Componente del sistema de dirección Acero // Componente repuesto para maquinaria minera",87089999,8708,870899,87,True,NANDINA_87089999,0,>200_or_not_retrieved,present_not_recovered_top_200,200,515,0,0,87089400,NANDINA_87089400,30.113294681801772,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,hs4_recovered_without_hs6_or_exact,hs4_recovered_without_hs6_or_exact
DA-EVAL-V02-00014,118-2026-10-004975-00-140,118-2026-10-004975-00,140,"Conjunto de barra de dirección, S/M, S/M Conjunto de barra de dirección 1101.5*O60 Steering tie rod assy1101.5*O60 // Cod: 4110708066 Componente respuesta para motor Acero // Componente repuesto para maquinaria minera",87089999,8708,870899,87,True,NANDINA_87089999,0,>200_or_not_retrieved,present_not_recovered_top_200,200,1005,0,0,89032200,NANDINA_89032200,29.87967675645966,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,hs4_recovered_without_hs6_or_exact,hs4_recovered_without_hs6_or_exact
DA-EVAL-V02-00015,118-2026-10-004975-00-151,118-2026-10-004975-00,151,"Conjunto de brazo central, S/M, S/M Conjunto de brazo central Center arm assy // Cod: 27140220051 Componente del sistema de dirección Acero // Componente repuesto para maquinaria minera",87089999,8708,870899,87,True,NANDINA_87089999,0,>200_or_not_retrieved,present_not_recovered_top_200,200,531,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,hs4_recovered_without_hs6_or_exact,hs4_recovered_without_hs6_or_exact
DA-EVAL-V02-00016,118-2026-10-004975-00-153,118-2026-10-004975-00,153,"Brazo de enlace, S/M, S/M Brazo de enlace - Pasador de enlace O40*128 Pin // Cod: 27060106991 Permite el movimiento articulado de piezas metalicas Acero // Componente repuesto para maquinaria minera",87089999,8708,870899,87,True,NANDINA_87089999,0,>200_or_not_retrieved,present_not_recovered_top_200,200,567,0,0,89032200,NANDINA_89032200,22.172975120367905,0.0,normative_bm25_hierarchical_data_aduanas_clase87_v0.2,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_hierarchical_evidence,no_hierarchical_evidence
