"matrix_row_id","claim_id","claim_text_controlled","claim_type","hypothesis_link","evidence_class","source_artifact","source_result_or_registry_ids","numeric_evidence_status","numeric_evidence_summary","uncertainty_status","uncertainty_summary","allowed_strength","causal_status","scope","mandatory_limitation","forbidden_overclaim","thesis_candidate_section","article_candidate_section","evidence_trace_status","HE5_positive_evidence_role","HE5_negative_evidence_role"
"G4F01-0001","G3C-001","Historical retrieval is superior to corrected flat normative retrieval for the five primary early-ranking metrics under the frozen HE2_A rule.","PRIMARY_INFERENTIAL","HE2_A","PRIMARY_INFERENTIAL","g3_inferential_results_v0.1.json","G3F03-0001:G3F03-0005","MATERIALIZED_NUMERIC","Five frozen G3-F03 point estimates and 99% CIs copied exactly.","MATERIALIZED_G3F03_CI","Five materialized 99% marginal CIs; no new CI calculated.","SUPPORTED_BY_PRIMARY_EVIDENCE","NONCAUSAL_PAIRED_CONTRAST","Chapter 87 internal benchmark","Cluster-resampling uncertainty within a fixed benchmark","Do not generalize beyond the benchmark or claim full-RAG accuracy","TESIS_RESULTADOS","ARTICULO_RESULTS","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0002","G3C-002","Historical retrieval is superior to corrected hierarchical normative retrieval for the five primary early-ranking metrics under the frozen HE2_A rule.","PRIMARY_INFERENTIAL","HE2_A","PRIMARY_INFERENTIAL","g3_inferential_results_v0.1.json","G3F03-0006:G3F03-0010","MATERIALIZED_NUMERIC","Five frozen G3-F03 point estimates and 99% CIs copied exactly.","MATERIALIZED_G3F03_CI","Five materialized 99% marginal CIs; no new CI calculated.","SUPPORTED_BY_PRIMARY_EVIDENCE","NONCAUSAL_PAIRED_CONTRAST","Chapter 87 internal benchmark","Cluster-resampling uncertainty within a fixed benchmark","Do not generalize beyond the benchmark or claim legal correctness","TESIS_RESULTADOS","ARTICULO_RESULTS","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0003","G3C-003","Historical retrieval is superior to corrected D1a retrieval for the five primary early-ranking metrics under the frozen HE2_A rule.","PRIMARY_INFERENTIAL","HE2_A","PRIMARY_INFERENTIAL","g3_inferential_results_v0.1.json","G3F03-0011:G3F03-0015","MATERIALIZED_NUMERIC","Five frozen G3-F03 point estimates and 99% CIs copied exactly.","MATERIALIZED_G3F03_CI","Five materialized 99% marginal CIs; no new CI calculated.","SUPPORTED_BY_PRIMARY_EVIDENCE","NONCAUSAL_PAIRED_CONTRAST","Chapter 87 internal benchmark","Attempt06 corrected D1a only","Do not use superseded D1a outputs","TESIS_RESULTADOS","ARTICULO_RESULTS","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0004","G3C-004","Corrected hierarchical coverage increases from Recall@100 to Recall@200 under the frozen HE2_B primary contrast.","PRIMARY_INFERENTIAL","HE2_B","PRIMARY_INFERENTIAL","g3_inferential_results_v0.1.json","G3F03-0016; G3F02-0037; G3F02-0038","MATERIALIZED_NUMERIC","G3F03-0016 and its frozen Recall@100/Recall@200 registry values copied exactly.","MATERIALIZED_G3F03_CI","One materialized 95% CI; Pool@200 is not duplicated as a contrast.","SUPPORTED_BY_PRIMARY_EVIDENCE","NONCAUSAL_PAIRED_CONTRAST","Chapter 87 internal benchmark","Single 95% cluster-bootstrap interval; Pool@200 is not a second contrast","Do not duplicate Pool@200 as confirmatory evidence","TESIS_RESULTADOS","ARTICULO_RESULTS","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0005","G3C-005","The four A_historical_defined Phase E variants show descriptively increasing exact-NANDINA pool coverage at depths 50, 100, and 200.","DESCRIPTIVE","HE2_B","DESCRIPTIVE","g3_metric_population_registry_v0.1.json","G3F02-0040; G3F02-0044; G3F02-0048; G3F02-0052; G3F02-0056; G3F02-0060; G3F02-0064; G3F02-0068; G3F02-0072; G3F02-0076; G3F02-0080; G3F02-0084","MATERIALIZED_NUMERIC","Exact-NANDINA Pool@50, Pool@100, and Pool@200 values copied for four frozen Phase E variants.","DESCRIPTIVE_NO_CI_AUTHORIZED","Descriptive inventory only; no CI or test authorized.","DIRECTIONALLY_CONSISTENT_DESCRIPTIVE","NONCAUSAL_DESCRIPTIVE","Frozen Phase E pools","No CI, p-value, or inferential contrast","Do not promote Phase E to confirmatory inference","TESIS_RESULTADOS;TESIS_DISCUSION","ARTICULO_RESULTS;ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0006","G3C-006","Top-50 uncertainty is supplementary and has no HE2 decision role.","SUPPLEMENTARY","HE2_A","SUPPLEMENTARY","g3_inferential_results_v0.1.json","G3F03-0017:G3F03-0019","MATERIALIZED_NUMERIC","Three frozen Top-50 supplementary point estimates and CIs copied exactly.","MATERIALIZED_G3F03_CI","Three materialized 95% supplementary CIs with no hypothesis-decision role.","SUPPLEMENTARY_ONLY","NONCAUSAL","Chapter 87 internal benchmark","Outside the Bonferroni primary five-metric families","Do not use Top-50 to change HE2_A","TESIS_RESULTADOS","ARTICULO_RESULTS","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0007","G3C-007","EXP11A measures joint bank-size/composition sensitivity.","SENSITIVITY","NONE","SENSITIVITY","g3_metric_population_registry_v0.1.json","G3F02-0112:G3F02-0333","MATERIALIZED_NUMERIC","Frozen EXP11A registry rows copied without new aggregation.","DESCRIPTIVE_NO_CI_AUTHORIZED","Descriptive joint size/composition sensitivity; no new CI.","DESCRIPTIVE_SENSITIVITY","NONCAUSAL","H25/H50/H75 plus frozen H100 reference","Size and composition are coupled","Do not claim an isolated causal size effect","TESIS_DISCUSION;TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0008","G3C-008","EXP11B is descriptive paired H150/H200 sensitivity.","SENSITIVITY","NONE","SENSITIVITY","g3_metric_population_registry_v0.1.json","G3F02-0334:G3F02-0465","MATERIALIZED_NUMERIC","Frozen paired H150/H200 registry rows copied without new aggregation.","DESCRIPTIVE_NO_CI_AUTHORIZED","No frozen seed superpopulation; no inferential CI.","DESCRIPTIVE_ONLY","NONINFERENTIAL","Ten paired seeds on the same 1,056-series EVAL","No frozen seed superpopulation; 10 x 1056 are not independent","Do not report inferential generalization across seeds or cases","TESIS_DISCUSION;TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0009","G3C-009","Attempt06 is the current corrected 0B-05C state: EV03 aggregate change zero, EV04 small non-zero MRR decrease, and D1a non-zero changes.","SENSITIVITY","NONE","SENSITIVITY","g3_metric_population_registry_v0.1.json","G3F02-0466:G3F02-0527","MATERIALIZED_NUMERIC","EV03 aggregate change zero; EV04 small non-zero MRR decrease; D1a non-zero changes.","DESCRIPTIVE_NO_CI_AUTHORIZED","Corrected Attempt06 descriptive state only.","DESCRIPTIVE_CORRECTED_STATE","NONCAUSAL","Attempt06 only","Superseded attempts are excluded","Do not summarize all 0B-05C arms as no numerical impact","TESIS_DISCUSION;TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0010","G3C-010","EXP12 diversity is not estimable from selected conditions because no D-HIGH/D-MID/D-LOW retrieval was produced.","LIMITATION","HE5","EXPERIMENTAL_LIMITATION","g3_metric_population_registry_v0.1.json","G3F02-0548","NOT_ESTIMABLE","No EXP12 diversity estimate was materialized.","NOT_ESTIMABLE","No uncertainty estimate exists because no selected conditions or retrieval were produced.","NOT_ESTIMABLE","NOT_APPLICABLE","Frozen EXP12 disposition","EXP12 remains closed without retrieval","Do not invent or reopen diversity estimates","TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NONE","NONE"
"G4F01-0011","G3C-011","Ambiguous or incomplete description prevalence is not estimable.","LIMITATION","HE5","LIMITATION_NOT_ESTIMABLE","g3_metric_population_registry_v0.1.json","G3F02-0528","NOT_ESTIMABLE","G3F02-0528 records description_quality_operationalized=0.","NOT_ESTIMABLE","Description prevalence is not estimable.","NOT_ESTIMABLE","NOT_APPLICABLE","Chapter 87 internal benchmark","description_quality_operationalized=0","Do not turn text heuristics into prevalence","TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0012","G3C-012","Hierarchical-proximity categories are descriptive only.","DESCRIPTIVE","HE5","DESCRIPTIVE","g3_metric_population_registry_v0.1.json","G3F02-0529:G3F02-0531","MATERIALIZED_NUMERIC","Frozen counts: SAME_CHAPTER=147; SAME_HS4=284; SAME_HS6=87.","DESCRIPTIVE_NO_CI_AUTHORIZED","No frozen concentration threshold and no CI authorized.","DESCRIPTIVE_ONLY","NONCAUSAL","SAME_CHAPTER, SAME_HS4, SAME_HS6","No frozen concentration threshold","Do not claim error concentration from counts alone","TESIS_RESULTADOS;TESIS_LIMITACIONES","ARTICULO_RESULTS;ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0013","G3C-013","Historical-support buckets remain the literal categories 1 DAM, 2 DAM, 3-4 DAM, and 5+ DAM.","DESCRIPTIVE","HE5","DESCRIPTIVE","g3_metric_population_registry_v0.1.json","G3F02-0532:G3F02-0543","MATERIALIZED_NUMERIC","Frozen Top-1, Top-3, and MRR@100 values for the literal 1 DAM, 2 DAM, 3-4 DAM, and 5+ DAM buckets.","DESCRIPTIVE_NO_CI_AUTHORIZED","No frozen insufficiency threshold and no CI authorized.","DESCRIPTIVE_ONLY","NONCAUSAL","Chapter 87 internal benchmark","No frozen insufficiency threshold","Do not relabel any bucket as insufficient","TESIS_RESULTADOS;TESIS_LIMITACIONES","ARTICULO_RESULTS;ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0014","G3C-014","The empirical validity boundary is the offline internal Chapter 87 benchmark of 1,056 series, 67 DAM, and 42 NANDINA.","SCOPE_LIMITATION","HE5","SCOPE_LIMITATION","g3_analytical_contract_v0.1.json; g3_metric_population_registry_v0.1.json","G3F02-0544; G3F02-0545","MATERIALIZED_NUMERIC","Frozen coverage and scope records for 1,056 series, 67 DAM, and 42 NANDINA in Chapter 87.","DESCRIPTIVE_NO_CI_AUTHORIZED","Documented internal benchmark boundary; no external-validity CI.","DOCUMENTED_LIMITATION","NOT_APPLICABLE","CAPITULO_87 / OFFLINE / INTERNAL_EVALUATION","No external validation","Do not assert external-population validity","TESIS_METODOLOGIA_ALCANCE;TESIS_LIMITACIONES","ARTICULO_METHODS_SCOPE","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0015","G3C-015","Historical ranking, normative evidence retrieval, and controlled explanation are separate architectural functions.","ARCHITECTURE_GUARDRAIL","NONE","ARCHITECTURE_GUARDRAIL","g3_analytical_contract_v0.1.md","HE2/HE5 operationalization and frozen exclusions","NOT_APPLICABLE_GUARDRAIL","No numeric evidence applies to this architecture control.","NOT_APPLICABLE","Uncertainty is not applicable to a control statement.","CONTROLLED_DESCRIPTION","NOT_APPLICABLE","Governed RAG architecture","The local LLM explains preselected candidates","Do not claim the LLM classifies from scratch or replaces ranking","TESIS_METODOLOGIA_ALCANCE","ARTICULO_METHODS_SCOPE","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0016","G3C-016","Superior historical retrieval does not equal global accuracy of the complete RAG framework.","OVERCLAIM_GUARDRAIL","HE2","OVERCLAIM_GUARDRAIL","g3_hypothesis_disposition_v0.1.json","HE2 limitations","NOT_APPLICABLE_GUARDRAIL","No numeric evidence applies to this overclaim prohibition.","NOT_APPLICABLE","Uncertainty is not applicable to a prohibition.","PROHIBITION","NOT_APPLICABLE","Chapter 87 internal benchmark","Retrieval is one governed component","Do not infer end-to-end system accuracy","TESIS_DISCUSION;TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
"G4F01-0017","G3C-017","Retrieved normative evidence does not equal binding legal correctness.","OVERCLAIM_GUARDRAIL","NONE","OVERCLAIM_GUARDRAIL","g3_hypothesis_disposition_v0.1.json","scope.architecture_guardrails","NOT_APPLICABLE_GUARDRAIL","No numeric evidence applies to this legal-correctness prohibition.","NOT_APPLICABLE","Uncertainty is not applicable to a prohibition.","PROHIBITION","NOT_APPLICABLE","Internal offline evaluation","Evidence retrieval is not adjudication","Do not present candidates as a binding legal ruling","TESIS_DISCUSION;TESIS_LIMITACIONES","ARTICULO_DISCUSSION","COMPLETE","NOT_APPLICABLE","NOT_APPLICABLE"
