case_id,id_unico,selection_target,selection_source,selection_note,support_bucket_dams,support_count_dams,exact_rank_evaluation_only,reference_nandina_evaluation_only,query
DA-EVAL-V02-00106,118-2026-10-009478-00-1,rank_1,rank_1,exact_category,1,1,1,87032390,"M1,TOYOTA,RAV4 VE:2.0 FULL D-LUX 4X2 MT,2026 CA:SUV,C1:GRIS OSCURO METALICO,CO:GASOLINA,SN:0 NC:4,CC:1987,CH/VIN:JTMW43FVXTD221945,MO:M20AX010781 AS:5,FR:4X2,TT:MEC,PA:4,PM: 127.00@6600.00, ACD,LET,ARA,CLM,BSA,CTC,DAS,EEL,PEL,KM:35.00,TE:ENCENDIDO POR CHISPA LA:4600,AN:1855,AL:16"
DA-EVAL-V02-00675,118-2026-10-054732-00-1,rank_1,rank_1,exact_category,1,1,1,87042110,"CAMIONETA PICK UP-(N1), Marca:TOYOTA-(TOY), A¤o MODELO:2026, Modelo:(209)-HILUX CAR:PICK UP,C1:PLATA METALICO,CO:DIESEL (PETROLEO),SN:0,N1 TOYOTA HILUX 4X4 D/C 1GD SRV NC:04,CC:2755,VIN:8AJBA3CD9T7969859,MOT:1GDG627505,CHA:8AJBA3CD9T7969859 AS:05,EJ:02,FR:4X4,TT:MECANICO,PA:04,PM:150@3400,PB:2910,PN:2190,CU:720 AC:ACDLETARA,NF:TOYOTA,AR:17/8,DE:3085,A¥O FAB:2025,A¥O MOD:2026,LA:5325,AN:1855,AL:1815"
DA-EVAL-V02-00676,118-2026-10-064520-00-1,rank_1,rank_1,exact_category,1,1,1,87042110,"N1 PICK UP TOYOTA HILUX 4x4 D/C 1GD SRV AÑO 2027 GUN126L-DGFHXF C1:GRIS OSCURO METALICO, CO:DIESEL(PETROLEO), SN:0, NR:4, AR:17/8, N1:265/65R17, DE:3085 NC:4, CC:2755, CH:8AJBA3CD0V7985502, VI:8AJBA3CD0V7985502, MO:1GDG662194 AS:5, EJ:2, FR:4X4, TT:MEC, PA:4, PM:150@3400 ACD, LET, ARA, BSA, CRT, DAS, KLM:15, LA:5325, AN:1855, AL:1815, SD:DOBLE HORQUILLA C BARR"
DA-EVAL-V02-00677,118-2026-10-064541-00-1,rank_1,rank_1,exact_category,1,1,1,87042110,"N1 PICK UP TOYOTA HILUX 4x4 D/C 1GD SRV AÑO 2026 GUN126L-DGFHXF C1:ROJO METALICO, CO:DIESEL(PETROLEO), SN:0, NR:4, AR:17/8, N1:265/65R17, DE:3085 NC:4, CC:2755, CH:8AJBA3CD8T7984062, VI:8AJBA3CD8T7984062, MO:1GDG649271 AS:5, EJ:2, FR:4X4, TT:MEC, PA:4, PM:150@3400 ACD, LET, ARA, BSA, CRT, DAS, KLM:15, LA:5325, AN:1855, AL:1815, SD:DOBLE HORQUILLA C BARR"
DA-EVAL-V02-00680,118-2026-10-072568-00-1,rank_1,rank_1,exact_category,1,1,1,87042110,"CAMIONETA PICK UP-(N1), Marca:TOYOTA-(TOY), A¤o MODELO:2026, Modelo:(209)-HILUX CAR:PICK UP,C1:BLANCO,CO:DIESEL (PETROLEO),SN:0,N1 TOYOTA HILUX 4X4 D/C 1GD SRV NC:04,CC:2755,VIN:8AJBA3CD2T7978659,MOT:1GD1855998,CHA:8AJBA3CD2T7978659 AS:05,EJ:02,FR:4X4,TT:MECANICO,PA:04,PM:150@3400,PB:2910,PN:2190,CU:720 AC:ACDLETARA,NF:TOYOTA,AR:17/8,DE:3085,A¥O FAB:2025,A¥O MOD:2026,LA:5325,AN:1855,AL:1815"
DA-EVAL-V02-00681,118-2026-10-076761-00-1,rank_1,rank_1,exact_category,1,1,1,87032390,"M1,JEEP,GRAND CHEROKEE VE:LIMITED,2024 CA:SUV,C1:PLATA,CO:GASOLINA,SN:0 NC:6,CC:3600,CH/VIN:1C4RJKBG9R8926714,MO:P05038861BA AS:6,FR:4X4,TT:AUT,PA:5,PM: 217.00@6400.00,PB:2949,PN:2090,CU:859 SAC,KM:21465.00,TE:ENCENDIDO POR CHISPA LA:4914,AN:1968,AL:1795, NR:4,AR:18/18,N1:265/60R1"
DA-EVAL-V02-00686,118-2026-10-088233-00-1,rank_1,rank_1,exact_category,1,1,1,87042110,"N1 PICK UP TOYOTA HILUX 4x4 D/C 1GD SRV AÑO 2027 GUN126L-DGFHXF C1:ROJO METALICO, CO:DIESEL(PETROLEO), SN:0, NR:4, AR:17/8, N1:265/65R17, DE:3085 NC:4, CC:2755, CH:8AJBA3CD6V7986377, VI:8AJBA3CD6V7986377, MO:1GDG664001 AS:5, EJ:2, FR:4X4, TT:MEC, PA:4, PM:150@3400 ACD, LET, ARA, BSA, CRT, DAS, KLM:15, LA:5325, AN:1855, AL:1815, SD:DOBLE HORQUILLA C BARR"
DA-EVAL-V02-00887,118-2026-10-144736-00-12,rank_1,rank_1,exact_category,1,1,1,87079090,"CABINA, FUSO, FUSO CABINA CON ACCESORIOS INTERNOS Y EXTERNOS TIPO DE PRODUCTO: USADO PARA VEHICULOS RESOLUCION: 0177-2021/SDC-INDECOPI / INFORME 000010-2022-SUNAT/340000"
DA-EVAL-V02-00888,118-2026-10-144736-00-13,rank_1,rank_1,exact_category,1,1,1,87079090,"CABINA, NISSAN, UD CABINA CON ACCESORIOS INTERNOS Y EXTERNOS TIPO DE PRODUCTO: USADO PARA VEHICULOS RESOLUCION: 0177-2021/SDC-INDECOPI / INFORME 000010-2022-SUNAT/340000"
DA-EVAL-V02-00889,118-2026-10-144736-00-14,rank_1,rank_1,exact_category,1,1,1,87079090,"CABINA, VOLVO, VOLVO CABINA CON ACCESORIOS INTERNOS Y EXTERNOS TIPO DE PRODUCTO: USADO PARA VEHICULOS RESOLUCION: 0177-2021/SDC-INDECOPI / INFORME 000010-2022-SUNAT/340000"
