case_id,id_unico,nandina_ref,candidate_rank,candidate_doc_id,candidate_code,candidate_partida,candidate_sub_partida,candidate_clase,score,candidate_text,is_reference_code,method
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,1,NANDINA_39173210,39173210,3917,391732,39,21.307863998444205,"Tripas artificiales, excepto las de la subpartida 3917.10.00 Tripas artificiales, excepto las de la subpartida 3917.10.00.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,2,NANDINA_48059130,48059130,4805,480591,48,19.798053843469066,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,3,NANDINA_48059220,48059220,4805,480592,48,19.798053843469066,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,4,NANDINA_48059320,48059320,4805,480593,48,19.798053843469066,"Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00, Papel y cartón, multicapas (excepto los de las subpartidas 4805.12.00,.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,5,NANDINA_72022100,72022100,7202,720221,72,19.771036523306265,Con un contenido de silicio superior al 55 % en peso Con un contenido de silicio superior al 55 % en peso.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,6,NANDINA_85122010,85122010,8512,851220,85,18.488047287120082,Faros de carretera (excepto faros «sellados» de la subpartida 8539.10.00) Faros de carretera (excepto faros «sellados» de la subpartida 8539.10.00).,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,7,NANDINA_84213100,84213100,8421,842131,84,16.42887085547069,Filtros de entrada de aire para motores de encendido por chispa o Filtros de entrada de aire para motores de encendido por chispa o.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,8,NANDINA_85113092,85113092,8511,851130,85,10.98797035811065,Bobinas de encendido Bobinas de encendido.,0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,9,NANDINA_27101292,27101292,2710,271012,27,10.2129722234998,"- Carburorreactores tipo gasolina, para reactores y turbinas - Carburorreactores tipo gasolina, para reactores y turbinas.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
DA-EVAL-V02-00001,118-2026-10-000136-00-1,87032410,10,NANDINA_09023000,09023000,0902,090230,09,9.44788764537177,"Té negro (fermentado) y té parcialmente fermentado, presentados en envases Té negro (fermentado) y té parcialmente fermentado, presentados en envases.",0,normative_bm25_flat_data_aduanas_clase87_v0.2
